calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Adela Speratti,Adela Speratti,,1.0,Female,https://es.wikipedia.org/wiki/Adela_y_Celsa_Speratti
Adela Speratti,Adela Speratti,,1.0,Female,https://es.wikipedia.org/wiki/Adela_y_Celsa_Speratti
Ana Díaz,Ana Díaz,,1.0,Female,https://es.wikipedia.org/wiki/Ana_D%C3%ADaz
Avenida Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Avenida Stella Maris,Stella Maris,,1.0,Female,https://es.wikipedia.org/wiki/Stella_Maris
Calle Adela Speratti,Adela Speratti,,1.0,Female,https://es.wikipedia.org/wiki/Adela_y_Celsa_Speratti
Calle Elsa Escalante,Elsa Escalante,,1.0,Female,
Calle María Felicidad González,María Felicidad González,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Felicidad_Gonz%C3%A1lez
callejon Branislava Susnik,jon Branislava Susnik,,1.0,Female,https://sl.wikipedia.org/wiki/Branislava_Su%C5%A1nik
Candelaria,Candelaria,,1.0,Female,
Casilda Insaurralde,Casilda Insaurralde,,1.0,Female,
Celsa Esperati,Celsa Esperati,,1.0,Female,https://es.wikipedia.org/wiki/Adela_y_Celsa_Speratti
Celsa Speratti,Celsa Speratti,,1.0,Female,https://es.wikipedia.org/wiki/Adela_y_Celsa_Speratti
Celsa Speratti,Celsa Speratti,,1.0,Female,https://es.wikipedia.org/wiki/Adela_y_Celsa_Speratti
Colonia Elisa,Colonia Elisa,,1.0,Female,
Damas Argentinas,Damas Argentinas,,1.0,Female,
Elena de Garcia,Elena de Garcia,,1.0,Female,
Elsa Escalante,Elsa Escalante,,1.0,Female,
Emigdia Reisofer,Emigdia Reisofer,,1.0,Female,
Enfermera Mariela Carnevale,Enfermera Mariela Carnevale,,1.0,Female,
Enfermeras del Chaco,Enfermeras del Chaco,,1.0,Female,
Esperanza Fernandina,Esperanza Fernandina,,1.0,Female,
Fatima Milagros,Fatima Milagros,,1.0,Female,
Francisca Torres,Francisca Torres,,1.0,Female,
Gabriela Mistral,Gabriela Mistral,,1.0,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Haydee Santamaría,Haydee Santamaría,,1.0,Female,https://es.wikipedia.org/wiki/Hayd%C3%A9e_Santamar%C3%ADa
Josefa Barbero de Repetto,Josefa Barbero de Repetto,,1.0,Female,
Juana de Lara,Juana de Lara,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Lara
Juana de Lara,Juana de Lara,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Lara
Juana María de Lara,Juana María de Lara,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Lara
Juana Pabla Carillo de López,Juana Pabla Carillo de López,,1.0,Female,
madre Eugenia Ravasco,madre Eugenia Ravasco,,1.0,Female,https://it.wikipedia.org/wiki/Eugenia_Ravasco
Madre Teresa de Calcuta,Madre Teresa de Calcuta,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Calcuta
Madre Teresa de Calcuta,Madre Teresa de Calcuta,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Calcuta
María Auxiliadora,María Auxiliadora,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
María Auxiliadora,María Auxiliadora,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
María Auxliadora,María Auxliadora,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
Mary Lyons,Mary Lyons,,1.0,Female,https://es.wikipedia.org/wiki/Mary_Mason_Lyon
Máxima Lugo,Máxima Lugo,,1.0,Female,https://gn.wikipedia.org/wiki/M%C3%A1xima_Lugo
Nathalie Bruel,Nathalie Bruel,,1.0,Female,
Pancha Garmendia,Pancha Garmendia,,1.0,Female,
Pancha Garmendia,Pancha Garmendia,,1.0,Female,
Pasaje Santa Ana,Santa Ana,,1.0,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Pasaje Santa Ana,Santa Ana,,1.0,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Pastora Cépedes,Pastora Cépedes,,1.0,Female,
Pastora Céspedes,Pastora Céspedes,,1.0,Female,
Profesora Lidia Recalde Hermosa,Profesora Lidia Recalde Hermosa,,1.0,Female,
Profesora Silvia Enciso,Profesora Silvia Enciso,,1.0,Female,
Sandra Rosalia,Sandra Rosalia,,1.0,Female,
Santa Ana,Santa Ana,,1.0,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Santa Catalina,Santa Catalina,,1.0,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Santa Lucía,Santa Lucía,,1.0,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Santa Lucía,Santa Lucía,,1.0,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Teresa Lamas Caríssimo,Teresa Lamas Caríssimo,,1.0,Female,
Teresa Lamas Caríssimo,Teresa Lamas Caríssimo,,1.0,Female,
Villa Adela,Adela,,1.0,Female,
Viuda de las Llanas,Viuda de las Llanas,,1.0,Female,
Anahi,Anahi,,0.99,Female,
Avenida Rosa Shipper,Rosa Shipper,,0.99,Female,
Blanca Romero de Viola,Blanca Romero de Viola,,0.99,Female,
Calle Anahi,Anahi,,0.99,Female,
colectora nor-oeste Madame Elisa Alicia Lynch - Mariscal Francisco Solano López,colectora nor-oeste Madame Elisa Alicia Lynch - Mariscal Francisco Solano López,,0.99,Female,https://es.wikipedia.org/wiki/Elisa_Alicia_Lynch
Colectora sur-oeste madame Elisa Alicia Lynch - Avenida Aviadores del Chaco,Colectora sur-oeste madame Elisa Alicia Lynch -  Aviadores Chaco,,0.99,Female,https://es.wikipedia.org/wiki/Elisa_Alicia_Lynch
Dolores Vera,Dolores Vera,,0.99,Female,
Dolores Vera,Dolores Vera,,0.99,Female,
India Juliana,India Juliana,,0.99,Female,
Isabel la Católica,Isabel la Católica,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Julia Miranda Cueto,Julia Miranda Cueto,,0.99,Female,
Julia Miranda Cueto,Julia Miranda Cueto,,0.99,Female,
Juliana Insfrán de Martínez,Juliana Insfrán de Martínez,,0.99,Female,
Loma Valentina,Loma Valentina,,0.99,Female,
Madame Elisa A. Lynch,Madame Elisa  Lynch,,0.99,Female,https://es.wikipedia.org/wiki/Elisa_Alicia_Lynch
Madame Elisa Alicia Linch,Madame Elisa Alicia Linch,,0.99,Female,https://es.wikipedia.org/wiki/Elisa_Alicia_Lynch
madame Elisa Alicia Lynch,madame Elisa Alicia Lynch,,0.99,Female,https://es.wikipedia.org/wiki/Elisa_Alicia_Lynch
Madame Elisa Alicia Lynch,Madame Elisa Alicia Lynch,,0.99,Female,https://es.wikipedia.org/wiki/Elisa_Alicia_Lynch
Marcelina Insfran,Marcelina Insfran,,0.99,Female,
Maria Felicidad Gonzalez,Maria Felicidad Gonzalez,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Felicidad_Gonz%C3%A1lez
Maria Felicidad Gonzalez,Maria Felicidad Gonzalez,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Felicidad_Gonz%C3%A1lez
María Julia Vda.,María Julia Vda.,,0.99,Female,
Marie Curie,Marie Curie,,0.99,Female,https://es.wikipedia.org/wiki/Marie_Curie
Mary Lions,Mary Lions,,0.99,Female,https://es.wikipedia.org/wiki/Mary_Mason_Lyon
Nieve A. Vera C.,Nieve  Vera C.,,0.99,Female,
Profesora Catalina de Dominguez,Profesora Catalina de Dominguez,,0.99,Female,
Profesora Delia Frutos de González,Profesora Delia Frutos de González,,0.99,Female,
Profesora Felicia González,Profesora Felicia González,,0.99,Female,
Rafaela Machain de Guanes,Rafaela Machain de Guanes,,0.99,Female,
Ramona Martinez,Ramona Martinez,,0.99,Female,
Rita Surroca de Benitez,Rita Surroca de Benitez,,0.99,Female,
Rocio Cabriza,Rocio Cabriza,,0.99,Female,
Rosa A. González,Rosa  González,,0.99,Female,
Rosa Peña,Rosa Peña,,0.99,Female,
Rosa Ventre,Rosa Ventre,,0.99,Female,
Sor Maria Clotilde de León,Sor Maria Clotilde de León,,0.99,Female,
Avenida Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Dora Gómez Bueno de Acuña,Dora Gómez Bueno de Acuña,,0.98,Female,https://es.wikipedia.org/wiki/Dora_G%C3%B3mez_Bueno_de_Acu%C3%B1a
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Profesora Carmen Garcete,Profesora Carmen Garcete,,0.95,Female,
Arsenia O. de González,Arsenia O. de González,,0.93,Female,
Melchora Melgarejo de Caballero,Melchora Melgarejo de Caballero,,0.92,Female,
Santa Margarita de Youville,Santa Margarita de Youville,,0.9,Female,https://es.wikipedia.org/wiki/Maria_Margarita_de_Youville
Adella Bello de Riart,Adella Bello de Riart,,0.89,Female,
Petrona de Leoz,Petrona de Leoz,,0.89,Female,
Calle Santa Carolina,Santa Carolina,,0.88,Female,
Mencia de Sanabria,Mencia de Sanabria,,0.88,Female,https://es.wikipedia.org/wiki/Mencia_Calder%C3%B3n
Virgen de Fatima,Virgen de Fatima,,0.87,Female,https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima
L. Valentina,L. Valentina,,0.82,Female,
Pasaje Santa María,Santa María,,0.74,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
Doña C. Casco De Lara C.,Doña  Casco De Lara C.,,0.73,Female,https://es.wikipedia.org/wiki/Carmen_Casco_de_Lara_Castro
Virgen del Pilar,Virgen del Pilar,,0.72,Female,
Nuestra Señora del Pilar,Nuestra Señora del Pilar,,0.68,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
Virgen de Fátima,Virgen de Fátima,,0.6,Female,https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima
Virgen de la Medadalla Milagrosa,Virgen de la Medadalla Milagrosa,,0.59,Female,
Virgen de Caacupe,Virgen de Caacupe,,0.58,Female,https://es.wikipedia.org/wiki/Virgen_de_Caacup%C3%A9
Clotilde Galeano,Clotilde Galeano,,0.5,Female,
Enriqueta Gómez Sánchez,Enriqueta Gómez Sánchez,,0.5,Female,
Mencia Calderon,Mencia Calderon,,0.5,Female,https://es.wikipedia.org/wiki/Mencia_Calder%C3%B3n
Profesora Ilda Morales,Profesora Ilda Morales,,0.5,Female,
Serafina Dávalos,Serafina Dávalos,,0.5,Female,https://es.wikipedia.org/wiki/Serafina_D%C3%A1valos
Profesora Agripina Burgos,Profesora Agripina Burgos,,0.49,Female,
Concepcion Leyes de Chavez,Concepcion Leyes de Chavez,,0.48,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Leyes_de_Chaves
Branislava Susnik,Branislava Susnik,,0.47,Female,https://sl.wikipedia.org/wiki/Branislava_Su%C5%A1nik
Carmen Casco de Lara Castro,Carmen Casco de Lara Castro,,0.47,Female,https://es.wikipedia.org/wiki/Carmen_Casco_de_Lara_Castro
Carmen Soler,Carmen Soler,,0.47,Female,https://es.wikipedia.org/wiki/Carmen_Soler
Gudelia Torres,Gudelia Torres,,0.47,Female,
Nima Candia,Nima Candia,,0.45,Female,
Cantalicia Lugo,Cantalicia Lugo,,0.42,Female,
Nuestra Señora del Carmen,Nuestra Señora del Carmen,,0.41,Female,https://es.wikipedia.org/wiki/Virgen_del_Carmen
Nuestra Señora del Carmen,Nuestra Señora del Carmen,,0.41,Female,https://es.wikipedia.org/wiki/Virgen_del_Carmen
Mujer en la Conquista,Mujer en la Conquista,,0.39,Female,
Ercilia López de Blomberg,Ercilia López de Blomberg,,0.36,Female,https://es.wikipedia.org/wiki/Ercilia_L%C3%B3pez_de_Blomberg
Lorenza Valdez de Martinez,Lorenza Valdez de Martinez,,0.33,Female,
