Creu Casas;Creu Casas;;0.5;Female
Carrer de la Llum;Llum;;1.0;Female
Carrer de la Mancha;Mancha;;0.93;Female
Carrer de Miquel Angel;Miquel Angel;;-1.0;Male
Carrer de Joan Alcover;Joan Alcover;;0.65;Female
Carrer de Carmen Amaya;Carmen Amaya;;1.0;Female
Carrer del Montseny;Montseny;;1.0;Female
Avinguda de la Via de la Plata;Via la Plata;;0.71;Female
Carrer de Saragossa;Saragossa;;-0.5;Male
Avinguda d'Eivissa;Eivissa;;1.0;Female
Avinguda de l'Eix Central;Eix Central;;-0.5;Male
Ronda de la Font del Carme;Font Carme;;1.0;Female
Carrer d'Artesa de Segre;Artesa Segre;;1.0;Female
Carrer de la Clota;Clota;;1.0;Female
Carrer de Dante;Dante;;-0.5;Male
Carrer de Santa Anna;Santa Anna;;0.98;Female
Carrer de Londres;Londres;;-1.0;Male
Avinguda de l'Argentina;Argentina;;1.0;Female
Carrer de la Lluna;Lluna;;1.0;Female
Avinguda Còrdova;Còrdova;;-0.5;Male
Josep Tarradellas bis;Josep Tarrabis;;-0.5;Male
Carrer de Josep Tarradellas;Josep Tarradellas;;-0.5;Male
Avinguda de Amèrica;Amèrica;;1.0;Female
Carrer de Castella;Castella;;1.0;Female
Carrer de Bèlgica;Bèlgica;;1.0;Female
Carrer de Galícia;Galícia;;0.88;Female
Carrer d'Aragó;Aragó;;0.71;Female
Avinguda de Roma;Avinguda Roma;Roma;0.59;Female
Carrer Sevilla;Sevilla;;1.0;Female
Camí Ral;Ral;;-0.5;Male
Camí de la Riera de Sant Cugat;Riera Sant Cugat;;-0.5;Male
Carrer de Portugal;Portugal;;-0.5;Male
Carrer de Sebastià Garriga;Sebastià Garriga;;-1.0;Male
Carrer de la Bòbila;Bòbila;;0.78;Female
Carrer de Sant Ramon;Sant Ramon;;-0.5;Male
Carrer de l'Om;Om;;-0.5;Male
Carrer de Santa Rosa;Santa Rosa;;0.98;Female
Carrer de la Mare de Déu dels Dolors;Mare Déu Dolors;;0.74;Female
Carrer Sant Oleguer;Sant Oleguer;;-0.5;Male
Carrer de Víctor Català;Víctor Català;;-1.0;Male
Carrer de Donya Amèlia;Donya Amèlia;;0.85;Female
Carrer de Santa Caterina;Santa Caterina;;0.78;Female
Carrer Riu Sec;Riu Sec;;-0.5;Male
Verge de Montserrat;Verge de Montserrat;;0.86;Female
Carrer del Cadí;Cadí;;1.0;Female
Carrer de Sant Joan;Sant Joan;;0.53;Female
Carrer de la Mare de Déu de Núria;Mare Déu de Núria;;0.56;Female
Carrer del Bruc;Bruc;;-0.5;Male
Carrer de la Mare de Déu;Mare Déu;;0.6;Female
Carrer de Sant Casimir;Sant Casimir;;-0.99;Male
Carrer de Sant Jordi;Sant Jordi;;-0.5;Male
Carrer de la Bassa;Bassa;;0.71;Female
Carrer Torres;Torres;;-1.0;Male
Carrer del Romaní;Romaní;;0.63;Female
Carrer de Felicià Xarau;Felicià Xarau;;0.5;Female
Carrer de Sant Antoni;Sant Antoni;;-0.5;Male
Passatge de Felicià Xarau;Felicià Xarau;;0.5;Female
Carrer del Remei;Remei;;1.0;Female
Frederic Puig;Frederic Puig;;-0.5;Male
Carrer Sant Pere;Sant Pere;;-0.5;Male
Blasco Ibañez;Bsco Ibañez;;-1.0;Male
Carrer de Picasso;Picasso;;-1.0;Male
Carrer Santa Eugènia;Santa Eugènia;;1.0;Female
Carrer de les Flors;Flors;;0.5;Female
Carrer de la Malesa;Malesa;;0.87;Female
Passatge de Santa Eugènia;Santa Eugènia;;1.0;Female
Carrer de la Pau;Pau;;-0.5;Male
Carrer de Sant Vicenç;Sant Vicenç;;-0.5;Male
Carrer de Sant Salvador;Sant Salvador;;-0.5;Male
Carrer de la Font de la Mina;Font la Mina;;0.89;Female
Carrer Verge de Montserrat;Verge Montserrat;;1.0;Female
Carrer de la Concòrdia;Concòrdia;;1.0;Female
Carrer Sant Francesc;Sant Francesc;;-0.5;Male
Carrer de Sant Sebastià;Sant Sebastià;;-0.5;Male
Carrer La sínia;La sínia;;0.65;Female
Carrer de Sant Lluís;Sant Lluís;;-0.5;Male
Passatge de Sant Francesc;Sant Francesc;;-0.5;Male
Carrer Sant Domènec;Sant Domènec;;-0.5;Male
Rambla de Montserrat;Montserrat;;1.0;Female
Passatge de Sant Miquel;Sant Miquel;;-0.5;Male
Carrer de Tiana;Tiana;;1.0;Female
Carrer de Barberà;Barberà;;0.98;Female
Carrer Prat de la Riba;Prat Riba;;0.62;Female
Carrer del Nord;Nord;;-0.5;Male
Carrer de Sant Joaquim;Sant Joaquim;;-0.5;Male
Avinguda de la Primavera;Primavera;;1.0;Female
Carrer d'Isabel la Católica;Isabel la Católica;;0.99;Female
Carrer de Balmes;Balmes;;-0.5;Male
Carrer del Rosari;Rosari;;1.0;Female
Plaça Emma Maleras;Emma Maleras;;0.99;Female
Carrer de l'Estació;Estació;;-0.5;Male
Carrer Nostra Senyora dels Àngels;Nostra Senyora Àngels;;1.0;Female
Avinguda del Riu Ripoll;Riu Ripoll;;-0.5;Male
Carrer Nostra Senyora del Pilar;Nostra Senyora Pilar;;0.99;Female
Carrer de Sant Camil;Sant Camil;;-0.5;Male
Carrer Ample;Ample;;1.0;Female
Carrer Sant Ramon;Sant Ramon;;-0.5;Male
Carrer d'Anselm Clavé;Anselm Clavé;;-0.5;Male
Passatge de Maria Lluïsa;Maria Lluïsa;;1.0;Female
Carrer Sant Daniel;Sant Daniel;;-1.0;Male
Passatge de Sant Daniel;Sant Daniel;;-1.0;Male
Carrer Santa Maria;Santa Maria;;1.0;Female
Carrer Sant Enric;Sant Enric;;-0.5;Male
Plaça Sant Ramon;Sant Ramon;;-0.5;Male
Carrer de Jaume Mimó i Llobet;Jaume Mimó i Llobet;;-0.5;Male
Carrer de Josep Panne;Josep Panne;;-0.5;Male
Carrer de Santa Engràcia;Santa Engràcia;;0.76;Female
Carrer de Sant Jeroni;Sant Jeroni;;-0.5;Male
Passatge d'Àngel Guimerà;Àngel Guimerà;;-1.0;Male
Plaça La Salut;La Salut;;0.65;Female
Carrer de la Providència;Providència;;1.0;Female
Carrer d'Àngel Guimerà;Àngel Guimerà;;-1.0;Male
Carrer d'Àngel Guirmerà;Àngel Guirmerà;;-1.0;Male
Carrer de l'Alzina;Alzina;;1.0;Female
Carrer de Josep LLimona;Josep LLimona;;-0.5;Male
Carrer de Santa Marcel·lina;Santa Marcel·lina;;0.76;Female
Carrer de La Mare de Déu del Pilar;La Mare de Déu Pilar;;0.66;Female
