calle,calle filtrada,calle filtrada2,factor fiabilidad,gender,wikipedia
Carrer de Felicià Xarau,Felicià Xarau,,1.0,Female,
Passatge de Felicià Xarau,Felicià Xarau,,1.0,Female,
Avinguda Carmen Amaya,Carmen Amaya,,1.0,Female,https://es.wikipedia.org/wiki/Carmen_Amaya
Avinguda de Carmen Amaya,Carmen Amaya,,1.0,Female,https://es.wikipedia.org/wiki/Carmen_Amaya
Avinguda de la Verge de Montserrat,Verge Montserrat,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Avinguda de la Verge de Montserrat,Verge Montserrat,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Avinguda Verge de Montserrat,Verge Montserrat,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Baixada de Santa Clara,Santa Clara,,1.0,Female,https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs
Baixada de Santa Eulàlia,Santa Eulàlia,,1.0,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Baixada de Sta. Engracía,Sta. Engracía,,1.0,Female,https://es.wikipedia.org/wiki/Engracia_de_Zaragoza
Carrer Aurora Bertrana,Aurora Bertrana,,1.0,Female,https://es.wikipedia.org/wiki/Aurora_Bertrana
Carrer Canal de la Infanta,Canal Infanta,,1.0,Female,https://es.wikipedia.org/wiki/Isabel_de_Borb%C3%B3n_y_Borb%C3%B3n
Carrer Carolina Catasús,Carolina Catasús,,1.0,Female,
Carrer Clara Campoamor,Clara Campoamor,,1.0,Female,https://es.wikipedia.org/wiki/Clara_Campoamor
carrer d'Afrodita,Afrodita,,1.0,Female,https://es.wikipedia.org/wiki/Afrodita
Carrer d'Agustina Saragossa,Agustina Saragossa,,1.0,Female,https://es.wikipedia.org/wiki/Agustina_de_Arag%C3%B3n
Carrer d'Aldana,Aldana,,1.0,Female,
Carrer d'Amèlia Earhart,Amèlia Earhart,,1.0,Female,https://es.wikipedia.org/wiki/Amelia_Earhart
Carrer d'Anna Maria Martínez Sagi,Anna Maria Martínez Sagi,,1.0,Female,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Mart%C3%ADnez_Sagi
Carrer d'Anna Parellada,Anna Parellada,,1.0,Female,
Carrer d'Anna Piferrer,Anna Piferrer,,1.0,Female,
carrer d'Anna Tugas,Anna Tugas,,1.0,Female,https://ca.wikipedia.org/wiki/Anna_Maria_Tugas_i_Masachs
Carrer d'Aurora Bertrana,Aurora Bertrana,,1.0,Female,https://es.wikipedia.org/wiki/Aurora_Bertrana
Carrer d'Edith Llaurador,Edith Llaurador,,1.0,Female,
carrer d'Édith Piaf,Édith Piaf,,1.0,Female,https://es.wikipedia.org/wiki/%C3%89dith_Piaf
Carrer d'Elisa,Elisa,,1.0,Female,
Carrer d'Elisenda de Montcada,Elisenda Montcada,,1.0,Female,https://es.wikipedia.org/wiki/Elisenda_de_Moncada
Carrer d'Elisenda de Pinós,Elisenda Pinós,,1.0,Female,https://es.wikipedia.org/wiki/Elisenda_de_Pin%C3%B3s
carrer d'Emília Guàrdia,Emília Guàrdia,,1.0,Female,
Carrer d'Ercilla,Ercilla,,1.0,Female,
Carrer d'Estefania de Requesens,Estefania Requesens,,1.0,Female,https://es.wikipedia.org/wiki/Estefan%C3%ADa_de_Requesens
Carrer d'Estefania de Requesens,Estefania Requesens,,1.0,Female,https://es.wikipedia.org/wiki/Estefan%C3%ADa_de_Requesens
Carrer d'Euterpe,Euterpe,,1.0,Female,https://es.wikipedia.org/wiki/Euterpe
Carrer d'Otilia Castellvi,Otilia Castellvi,,1.0,Female,https://ca.wikipedia.org/wiki/Otilia_Castellv%C3%AD
Carrer d'Otília Castellví,Otília Castellví,,1.0,Female,https://ca.wikipedia.org/wiki/Otilia_Castellv%C3%AD
Carrer de Badia,Badia,,1.0,Female,
Carrer de Beatriu,Beatriu,,1.0,Female,
carrer de Carme Donada,Carme Donada,,1.0,Female,
Carrer de Carmen Amaya,Carmen Amaya,,1.0,Female,https://es.wikipedia.org/wiki/Carmen_Amaya
Carrer de Cinta Amigó,Cinta Amigó,,1.0,Female,
Carrer de Clara Campoamor,Clara Campoamor,,1.0,Female,https://es.wikipedia.org/wiki/Clara_Campoamor
Carrer de Clara Zetkin,Clara Zetkin,,1.0,Female,https://es.wikipedia.org/wiki/Clara_Zetkin
Carrer de Concepció Arenal,Concepció Arenal,,1.0,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
carrer de Concha Espina,Concha Espina,,1.0,Female,https://es.wikipedia.org/wiki/Concha_Espina
Carrer de Conxita Supervia,Conxita Supervia,,1.0,Female,https://es.wikipedia.org/wiki/Conchita_Superv%C3%ADa
Carrer de Diana,Diana,,1.0,Female,
carrer de Diana,Diana,,1.0,Female,
Carrer de Dolors Aleu,Dolors Aleu,,1.0,Female,https://es.wikipedia.org/wiki/Dolores_Aleu_Riera
Carrer de Dolors Modolell,Dolors Modolell,,1.0,Female,
Carrer de Dolors Monserdà,Dolors Monserdà,,1.0,Female,https://es.wikipedia.org/wiki/Dolors_Monserd%C3%A0
Carrer de Enriqueta Puyal,Enriqueta Puyal,,1.0,Female,
Carrer de Fatima,Fatima,,1.0,Female,
Carrer de Francesca Cortés,Francesca Cortés,,1.0,Female,
Carrer de Frederica Montseny,Frederica Montseny,,1.0,Female,https://es.wikipedia.org/wiki/Federica_Montseny
Carrer de Frederica Montseny,Frederica Montseny,,1.0,Female,https://es.wikipedia.org/wiki/Federica_Montseny
Carrer de Gràcia,Gràcia,,1.0,Female,
Carrer de Jocelyn Bell,Jocelyn Bell,,1.0,Female,https://es.wikipedia.org/wiki/Jocelyn_Bell_Burnell
Carrer de Josefa Rosich,Josefa Rosich,,1.0,Female,
Carrer de Josefa Trochà Cassà,Josefa Trochà Cassà,,1.0,Female,
Carrer de Josepa Massanés,Josepa Massanés,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Massan%C3%A9s
Carrer de Justa Goicoechea,Justa Goicoechea,,1.0,Female,https://ca.wikipedia.org/wiki/Justa_Goicoechea_i_Mayayo
Carrer de l'Ave Maria,Ave Maria,,1.0,Female,
Carrer de l'Ave Maria,Ave Maria,,1.0,Female,
Carrer de l'Enriqueta,Enriqueta,,1.0,Female,
Carrer de l'Hortensia,Hortensia,,1.0,Female,
Carrer de la Baronessa de Maldà,Baronessa Maldà,,1.0,Female,https://es.wikipedia.org/wiki/Baron%C3%ADa_de_Mald%C3%A1_y_Maldanell
carrer de la Camèlia,Camèlia,,1.0,Female,
Carrer de la Maria Victòria,Maria Victòria,,1.0,Female,
Carrer de la Merce,Merce,,1.0,Female,
Carrer de la Mercè,Mercè,,1.0,Female,
Carrer de la Mercè,Mercè,,1.0,Female,
Carrer de la Miranda,Miranda,,1.0,Female,
Carrer de la Princesa,Princesa,,1.0,Female,
Carrer de la Reina Amàlia,Reina Amàlia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Amalia_de_Sajonia
Carrer de la Reina Amàlia,Reina Amàlia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Amalia_de_Sajonia
Carrer de la Reina Cristina,Reina Cristina,,1.0,Female,https://es.wikipedia.org/wiki/Cristina_de_Suecia
Carrer de la Reina Elionor,Reina Elionor,,1.0,Female,https://es.wikipedia.org/wiki/Leonor_de_Arag%C3%B3n_y_Foix
Carrer de la Reina Elisenda,Reina Elisenda,,1.0,Female,https://es.wikipedia.org/wiki/Elisenda_de_Moncada
Carrer de la Reina Victòria,Reina Victòria,,1.0,Female,https://ca.wikipedia.org/wiki/Reina_Vict%C3%B2ria_del_Regne_Unit
Carrer de la Rosa,Rosa,,1.0,Female,
carrer de la Rosella,Rosella,,1.0,Female,
Carrer de la Verge de Montserrat,Verge Montserrat,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Carrer de la Verònica,Verònica,,1.0,Female,
Carrer de Lorena,Lorena,,1.0,Female,
Carrer de Margarida xirgu,Margarida xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Carrer de Margarida Xirgu,Margarida Xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Carrer de Margarida Xirgu,Margarida Xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Carrer de Maria,Maria,,1.0,Female,
carrer de Maria Antonia,Maria Antonia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_de_Austria
Carrer de Maria Antònia,Maria Antònia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_de_Austria
Carrer de Maria Auxiliadora,Maria Auxiliadora,,1.0,Female,
