calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Aimé Paine,Aimé Paine,,1.0,Female,https://es.wikipedia.org/wiki/Aim%C3%A9_Paine
Aimé Painé,Aimé Painé,,1.0,Female,https://es.wikipedia.org/wiki/Aim%C3%A9_Paine
Alicia Moreau de Justo,Alicia Moreau de Justo,,1.0,Female,https://es.wikipedia.org/wiki/Alicia_Moreau_de_Justo
Alicia Moreau de Justo,Alicia Moreau de Justo,,1.0,Female,https://es.wikipedia.org/wiki/Alicia_Moreau_de_Justo
Amalia,Amalia,,1.0,Female,
Ana Acerboni,Ana Acerboni,,1.0,Female,
Ana Díaz,Ana Díaz,,1.0,Female,https://es.wikipedia.org/wiki/Ana_D%C3%ADaz
Ana María Janer,Ana María Janer,,1.0,Female,https://es.wikipedia.org/wiki/Anna_Maria_Janer_i_Anglarill
Ana María Janer,Ana María Janer,,1.0,Female,https://es.wikipedia.org/wiki/Anna_Maria_Janer_i_Anglarill
Avelina Huisi de Segui,Avelina Huisi Segui,,1.0,Female,
Avelina Huisi de Seguí,Avelina Huisi Seguí,,1.0,Female,
Avenida Alicia Moreau de Justo,Alicia Moreau Justo,,1.0,Female,https://es.wikipedia.org/wiki/Alicia_Moreau_de_Justo
Avenida Ana María Janer,Ana María Janer,,1.0,Female,https://es.wikipedia.org/wiki/Anna_Maria_Janer_i_Anglarill
Avenida Elvira Rawson de Dellepiane,Elvira Rawson Dellepiane,,1.0,Female,https://es.wikipedia.org/wiki/Elvira_Rawson
Avenida Elvira Rawson de Dellepiane,Elvira Rawson Dellepiane,,1.0,Female,https://es.wikipedia.org/wiki/Elvira_Rawson
Avenida Eva Perón,Eva Perón,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Avenida Eva Perón,Eva Perón,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Avenida María Curie,María Curie,,1.0,Female,https://es.wikipedia.org/wiki/Marie_Curie
Avenida Presidente Figueroa Alcorta,Presidente Figueroa Alcorta,,-1.0,Male,
Avenida Remedios de Escalada,Remedios Escalada,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Azucena Maizani,Azucena Maizani,,1.0,Female,https://es.wikipedia.org/wiki/Azucena_Maizani
Azucena Villaflor,Azucena flor,,1.0,Female,https://es.wikipedia.org/wiki/Azucena_Villaflor
Azucena Villaflor,Azucena flor,,1.0,Female,https://es.wikipedia.org/wiki/Azucena_Villaflor
Boulevard María Teresa,Boulevard María Teresa,,1.0,Female,
Camila O'Gorman,Camila O'Gorman,,1.0,Female,https://es.wikipedia.org/wiki/Camila_O%27Gorman
Camila O´Gorman,Camila O´Gorman,,1.0,Female,https://es.wikipedia.org/wiki/Camila_O%27Gorman
Carola Lorenzini,Carola Lorenzini,,1.0,Female,https://es.wikipedia.org/wiki/Carola_Lorenzini
Carolina Muzilli,Carolina Muzilli,,1.0,Female,https://es.wikipedia.org/wiki/Carola_Lorenzini
Cecilia Grierson,Cecilia Grierson,,1.0,Female,https://es.wikipedia.org/wiki/Cecilia_Grierson
Elena Larroque de Roffo,Elena Larroque de Roffo,,1.0,Female,
Encarnación Ezcurra,Encarnación Ezcurra,,1.0,Female,https://es.wikipedia.org/wiki/Encarnaci%C3%B3n_Ezcurra
Esperanza,Esperanza,,1.0,Female,
Eva Duarte,Eva Duarte,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Eva Perón,Eva Perón,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Eva Perón,Eva Perón,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Evita,Evita,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Gabriela Mistral,Gabriela Mistral,,1.0,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Gabriela Mistral,Gabriela Mistral,,1.0,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Gabriela Mistral,Gabriela Mistral,,1.0,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Herminia Brumana,Herminia Brumana,,1.0,Female,https://es.wikipedia.org/wiki/Herminia_Brumana
Juana Azurduy,Juana Azurduy,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Azurduy
Juana de Arco,Juana de Arco,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Arco
Juana de Ibarbourou,Juana de Ibarbourou,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Ibarbourou
Juana Manso,Juana Manso,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Manso
Juana Manuela Gorriti,Juana Manuela Gorriti,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti
Julieta Lanteri,Julieta Lanteri,,1.0,Female,https://es.wikipedia.org/wiki/Julieta_Lanteri
Julieta Lanteri,Julieta Lanteri,,1.0,Female,https://es.wikipedia.org/wiki/Julieta_Lanteri
Madreselva,Madreselva,,1.0,Female,
Magdalena,Magdalena,,1.0,Female,
Magdalena,Magdalena,,1.0,Female,
Manuela Pedraza,Manuela Pedraza,,1.0,Female,https://es.wikipedia.org/wiki/Manuela_Pedraza
Manuela Pedraza,Manuela Pedraza,,1.0,Female,https://es.wikipedia.org/wiki/Manuela_Pedraza
Manuela Pedraza,Manuela Pedraza,,1.0,Female,https://es.wikipedia.org/wiki/Manuela_Pedraza
Manuela Saenz,Manuela Saenz,,1.0,Female,https://es.wikipedia.org/wiki/Manuela_S%C3%A1enz
Margarita Weild,Margarita Weild,,1.0,Female,
Margarita Weild,Margarita Weild,,1.0,Female,
María Catalina Marchi,María Catalina Marchi,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Catalina_Marchi
María Remedios del Valle,María Remedios del,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Remedios_del_Valle
Marta Lynch,Marta Lynch,,1.0,Female,https://es.wikipedia.org/wiki/Marta_Lynch
Martina Cespedes,Martina Cespedes,,1.0,Female,https://es.wikipedia.org/wiki/Martina_C%C3%A9spedes
Olga Cossetini,Olga Cossetini,,1.0,Female,https://es.wikipedia.org/wiki/Olga_Cossettini
Olga Cossettini,Olga Cossettini,,1.0,Female,https://es.wikipedia.org/wiki/Olga_Cossettini
Pasaje Corina Kavanagh,Pasaje Corina Kavanagh,,1.0,Female,
Pasaje Eva Perón,Pasaje Eva Perón,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Pasaje Eva Perón,Pasaje Eva Perón,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Pasaje Eva Perón,Pasaje Eva Perón,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Pasaje Evita,Pasaje Evita,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Pasaje Evita,Pasaje Evita,,1.0,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Pasaje María Elena Walsh,Pasaje María Elena Walsh,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Elena_Walsh
Pasaje Teresa de Calcuta,Pasaje Teresa de Calcuta,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Calcuta
Paula Albarracín de Sarmiento,Paula Albarracín de Sarmiento,,1.0,Female,
Rafaela,Rafaela,,1.0,Female,
Raquel Español,Raquel Español,,1.0,Female,
Rotonda Ciudad Evita,Ciudad Evita,,1.0,Female, https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Santa Catalina,Santa Catalina,,1.0,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Santa Catalina,Santa Catalina,,1.0,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Santa Elena,Santa Elena,,1.0,Female,https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Santa Elena,Santa Elena,,1.0,Female,https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Santa Magdalena,Santa Magdalena,,1.0,Female,https://es.wikipedia.org/wiki/Magdalena_Sof%C3%ADa_Barat
Santa Margarita,Santa Margarita,,1.0,Female,https://es.wikipedia.org/wiki/Santa_Margarita
Santa Rita,Santa Rita,,1.0,Female,https://es.wikipedia.org/wiki/Rita_de_Casia
Santa Rita,Santa Rita,,1.0,Female,https://es.wikipedia.org/wiki/Rita_de_Casia
Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Sofia,Sofia,,1.0,Female,
Tonita,Tonita,,1.0,Female,
Victoria,Victoria,,1.0,Female,
Victoria,Victoria,,1.0,Female,
Ana Maria Chanes,Ana Maria Chanes,,0.99,Female,
Avenida Infanta Isabel,Infanta Isabel,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_de_Borb%C3%B3n_y_Borb%C3%B3n
Avenida Remedios de Escalada de San Martín,Remedios Escalada de San Martín,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Avenida Remedios de Escalada de San Martín,Remedios Escalada de San Martín,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Emma de La Barra,Emma de La Barra,,0.99,Female,https://es.wikipedia.org/wiki/Emma_de_la_Barra
Esmeralda,Esmeralda,,0.99,Female,
Esmeralda,Esmeralda,,0.99,Female,
Esmeralda,Esmeralda,,0.99,Female,
Isabel la Católica,Isabel la Católica,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Isabel La Católica,Isabel La Católica,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Liliana Granda,Liliana Granda,,0.99,Female,
Lola Mora,Lola Mora,,0.99,Female,https://es.wikipedia.org/wiki/Lola_Mora
Lola Mora,Lola Mora,,0.99,Female,https://es.wikipedia.org/wiki/Lola_Mora
Lola Mora,Lola Mora,,0.99,Female,https://es.wikipedia.org/wiki/Lola_Mora
María Antonia de la Paz y Figueroa,María Antonia de la Paz y Figueroa,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_de_Paz_y_Figueroa
Martha Salotti,Martha Salotti,,0.99,Female,https://es.wikipedia.org/wiki/Martha_Salotti
Pasaje Esmeralda,Pasaje Esmeralda,,0.99,Female,
Petrona Eyle,Petrona Eyle,,0.99,Female,https://es.wikipedia.org/wiki/Petrona_Eyle
Regina Pacini de Alvear,Regina Pacini de Alvear,,0.99,Female,https://es.wikipedia.org/wiki/Regina_Pacini
Remedios de Escalada de San Martín,Remedios de Escalada de San Martín,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Rosalia de Castro,Rosalia de Castro,,0.99,Female,https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro
La Gloria,La Gloria,,0.98,Female,
María R. Adler,María R. Adler,,0.98,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Raquel_Adler
Pasaje La Victoria,Pasaje La Victoria,,0.98,Female,
Pasaje María Jesús,Pasaje María Jesús,,0.98,Female,
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Ema de La Barra,Ema de La Barra,,0.96,Female,https://es.wikipedia.org/wiki/Emma_de_la_Barra
Lucero,Lucero,,0.95,Female,
Madame Curie,Madame Curie,,0.94,Female,https://es.wikipedia.org/wiki/Marie_Curie
Pasaje Santa Ana,Pasaje Santa Ana,,0.94,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Pasaje Virgen ¿de Fátima?,Pasaje Virgen ¿de Fátima?,,0.94,Female,https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima
Boulevard Rosario Vera Peñaloza,Boulevard Rosario Vera Peñaloza,,0.91,Female,https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza
Boulevard Rosario Vera Peñaloza,Boulevard Rosario Vera Peñaloza,,0.91,Female,https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza
Rosario Vera Peñaloza,Rosario Vera Peñaloza,,0.91,Female,https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza
Mariquita Sánchez de Thompson,Mariquita Sánchez de Thompson,,0.84,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Mariquita Sánchez de Thompson,Mariquita Sánchez de Thompson,,0.84,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Pasaje Santa María,Pasaje Santa María,,0.81,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
Santa María del Buen Aire,Santa María del Buen Aire,,0.81,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_del_Buen_Aire
Pasaje Santa Lucía,Pasaje Santa Lucía,,0.8,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Pasaje Santa Lucía,Pasaje Santa Lucía,,0.8,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Trinidad Guevara,Trinidad Guevara,,0.8,Female,https://es.wikipedia.org/wiki/Trinidad_Guevara
La Rosita,La Rosita,,0.78,Female,
Santa Maria,Santa Maria,,0.74,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
La Santa María,La Santa María,,0.72,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
Calle La Milagrosa,La Milagrosa,,0.69,Female,
Victoria Ocampo,Victoria Ocampo,,0.67,Female,https://es.wikipedia.org/wiki/Victoria_Ocampo
La Morena,La Morena,,0.66,Female,
La Cautiva,La Cautiva,,0.65,Female,
Maure,Maure,,0.64,Female,
R. H. Alice,R. H. Alice,,0.58,Female,
Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Celina L. de Minetto,Celina L. de Minetto,,0.5,Female,
Dolores,Dolores,,0.5,Female,
Gladys Marín,Gladys Marín,,0.5,Female,https://es.wikipedia.org/wiki/Gladys_Mar%C3%ADn
Hermana María Odilia Zaloznik,Hermana María Odilia Zaloznik,,0.5,Female,
Patrica Zaldarreaga,Patrica Zaldarreaga,,0.5,Female,
Pierina Dealessi,Pierina Dealessi,,0.5,Female,https://es.wikipedia.org/wiki/Pierina_Dealessi
Sor Juana Inés de la Cruz,Sor Juana Inés de la Cruz,,0.5,Female,https://es.wikipedia.org/wiki/Sor_Juana_In%C3%A9s_de_la_Cruz
Carlota C. B. de Domínico,Carlota  B. Domínico,,0.49,Female,
Gregoria Matorras de San Martín,Gregoria Matorras de San Martín,,0.49,Female,https://es.wikipedia.org/wiki/Gregoria_Matorras
Gregoria Pérez,Gregoria Pérez,,0.49,Female,
Mercedes,Mercedes,,0.49,Female,
Mercedes,Mercedes,,0.49,Female,
