Cda. Azucena;. Azucena;;1.0;female;
Cda. Dr. Norma;. Dr. Norma;;0.99;female;
Cda. de Fraternidad;. Fraternidad;;1.0;female;
Cda. Isabel La Católica;. Isabel La Católica;;0.99;female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Cda. J. Luna;. J. Luna;;0.59;female;
Cda. Paz Montes de Oca;. Paz Montes Oca;;0.9;female;
Cda. de Sabina;. Sabina;;0.99;female;
Cda. Santa Úrsula;. Santa Úrsula;;1.0;female;https://es.wikipedia.org/wiki/%C3%9Arsula_(santa)
Cda. Soria;. Soria;;0.98;female;
Cda. Tonantzin;. Tonantzin;;1.0;female;https://es.wikipedia.org/wiki/Tonantzin
Adelina Patti;Adelina Patti;;1.0;female;https://es.wikipedia.org/wiki/Adelina_Patti
Adelita;Adelita;;1.0;female;https://es.wikipedia.org/wiki/Adelita
Adelita;Adelita;;1.0;female;https://es.wikipedia.org/wiki/Adelita
Adriana;Adriana;;0.99;female;
Adriana;Adriana;;0.99;female;
Alba Herrera y Ogazón;Alba Herrera y Ogazón;;1.0;female;https://es.wikipedia.org/wiki/Alba_Herrera_y_Ogaz%C3%B3n
Amalia;Amalia;;1.0;female;
Villa Amelía;Amelía;;1.0;female;
Amparo Piñon;Amparo Piñon;;1.0;female;
Ana Bolena;Ana Bolena;;1.0;female;https://es.wikipedia.org/wiki/Ana_Bolena
Ana Bolena;Ana Bolena;;1.0;female;https://es.wikipedia.org/wiki/Ana_Bolena
Ana García;Ana García;;1.0;female;
Ana Luisa Peluffo;Ana Luisa Peluffo;;1.0;female;https://es.wikipedia.org/wiki/Ana_Luisa_Peluffo
Ana María;Ana María;;1.0;female;
Ana María Berlanga;Ana María Berlanga;;1.0;female;
Ana María Gonzáles;Ana María Gonzáles;;1.0;female;https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Gonz%C3%A1lez_(soprano_espa%C3%B1ola)
Ana Maria Mier;Ana Maria Mier;;0.99;female;
Ana Rosa;Ana Rosa;;1.0;female;
Andador Esmeralda;Andador Esmeralda;;0.99;female;
Andador Santa Lucía;Andador Santa Lucía;;0.8;female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Segunda Andador Santa Rosa;Andador Santa Rosa;;0.94;female;https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Andador Santa Rosa;Andador Santa Rosa;;0.94;female;https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Andrea Arrieta;Andrea Arrieta;;0.93;female;
Villa Ángela;Ángela;;0.99;female;
Ángela Alessio;Ángela Alessio;;0.53;female;
Angeles;Angeles;;0.99;female;
Angeles;Angeles;;0.99;female;
Angelina;Angelina;;1.0;female;
Antigua Calzada de Guadalupe;Antigua  Guadalupe;;0.62;female;
Antonia;Antonia;;0.99;female;
Arabella;Arabella;;1.0;female;
Arabella;Arabella;;1.0;female;
A. Arrieta;Arrieta;;1.0;female;
Asunción Ávila;Asunción Ávila;;0.93;female;
Batalla Santa Rosa;Batalla Santa Rosa;;0.94;female;
Beatriz Blanco;Beatriz Blanco;;0.5;female;
Belinda;Belinda;;1.0;female;
Bertha;Bertha;;0.99;female;
Betina;Betina;;1.0;female;
Blanca Estela Pavón;Blanca Estela Pavón;;1.0;female;https://es.wikipedia.org/wiki/Blanca_Estela_Pav%C3%B3n
Blanca Estela Pavón;Blanca Estela Pavón;;1.0;female;https://es.wikipedia.org/wiki/Blanca_Estela_Pav%C3%B3n
Canal María Candelaria;Canal María Candelaria;;0.99;female;
Candelaria Pérez;Candelaria Pérez;;1.0;female;https://es.wikipedia.org/wiki/Candelaria_P%C3%A9rez
Candelaria Pérez;Candelaria Pérez;;1.0;female;https://es.wikipedia.org/wiki/Candelaria_P%C3%A9rez
Carlota;Carlota;;0.5;female;https://es.wikipedia.org/wiki/Carlota_de_M%C3%A9xico
Carlota;Carlota;;0.5;female;https://es.wikipedia.org/wiki/Carlota_de_M%C3%A9xico
Carlota Armero;Carlota Armero;;0.5;female;
Carlota Armero;Carlota Armero;;0.5;female;
Carmen Serdan;Carmen Serdan;;0.95;female;https://es.wikipedia.org/wiki/Carmen_Serd%C3%A1n_Alatriste
Carolina;Carolina;;1.0;female;
Catalina Buendía;Catalina Buendía;;1.0;female;
Catalina González;Catalina González;;1.0;female;
Cecilia;Cecilia;;1.0;female;
Cerro Juvencia;Cerro Juvencia;;1.0;female;
Cerro Maika;Cerro Maika;;0.82;female;
Cerro Malinalli;Cerro Malinalli;;1.0;female;https://es.wikipedia.org/wiki/Malinalli_%28nombre%29
Cintya;Cintya;;1.0;female;
Citlali;Citlali;;0.99;female;https://es.wikipedia.org/wiki/Citlalli_%28nombre%29
Citlalli;Citlalli;;1.0;female;https://es.wikipedia.org/wiki/Citlalli_%28nombre%29
Citlalli;Citlalli;;1.0;female;https://es.wikipedia.org/wiki/Citlalli_%28nombre%29
Cristina;Cristina;;1.0;female;
Delia;Delia;;1.0;female;https://es.wikipedia.org/wiki/Delia_%28nombre%29
Diana;Diana;;0.99;female;
Jardín Diana;Diana;;0.99;female;
Diana Laura;Diana Laura;;1.0;female;
Dione;Dione;;0.72;female;https://es.wikipedia.org/wiki/Dione_%28mitolog%C3%ADa%29
Dolores Del Rio;Dolores Del Rio;;0.99;female;https://es.wikipedia.org/wiki/Dolores_del_R%C3%ADo
Dolores Guerrero;Dolores Guerrero;;0.99;female;https://es.wikipedia.org/wiki/Dolores_Guerrero
Dolores Jiménez Muro;Dolores Jiménez Muro;;0.99;female;https://es.wikipedia.org/wiki/Dolores_Jim%C3%A9nez_y_Muro
Doña Juana;Doña Juana;;1.0;female;
Dora;Dora;;0.98;female;
Dulce Olivia;Dulce Olivia;;1.0;female;
Elisa Acuña Rosete;Elisa Acuña Rosete;;1.0;female;https://es.wikipedia.org/wiki/Elisa_Acu%C3%B1a
Elisa G. Otis;Elisa G. Otis;;0.99;female;
Villa Eloísa;Eloísa;;1.0;female;
Elsa;Elsa;;1.0;female;
Elvira;Elvira;;1.0;female;
Elvira;Elvira;;1.0;female;
Elvira Vargas;Elvira Vargas;;0.5;female;
Elvira Vargas;Elvira Vargas;;0.5;female;
Emilia Romero de Valle;Emilia Romero de;;1.0;female;
Emma;Emma;;0.99;female;
Encarnación;Encarnación;;1.0;female;
