calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle Aniceto Alba,Aniceto Alba,,0.54,Male,
Avenida Melchor Pérez de Olguín,Melchor Pérez Olguín,,-0.5,Male,
Calle Plaza Mariscal Brown,Plaza Mariscal Brown,,-1.0,Male,
Avenida Cornelio Saavedra,Cornelio Saavedra,,-0.5,Male,
Calle Cecilio Guzmán de Rojas,Cecilio Guzmán Rojas,,-0.5,Male,
Calle Antonio Vivaldi,Antonio Vivaldi,,-0.5,Male,
Calle San Lorenzo,San Lorenzo,,-0.36,Male,
Calle Cieza de León,Cieza León,,-0.5,Male,
Calle La Merced,La Merced,,0.61,Male,
Calle Francisco Pizarro,Francisco Pizarro,,-0.5,Male,
Calle Diego de Almagro,Diego Almagro,,-1.0,Male,
Avenida Perú,Perú,,-0.47,Male,
Calle San Alberto,San Alberto,,-0.43,Male,
Calle Francisco Viedma,Francisco Viedma,,-0.5,Male,
Calle Garcilaso de la Vega,Garcilaso Vega,,0.93,Male,
Avenida Humboldt,Humboldt,,-0.5,Male,
Pasaje Fidelia Corral de Sánchez,Fidelia Corral Sánchez,,1.0,Female,
Calle Lanza,Lanza,,1.0,Male,
Calle Bolivar,Bolivar,,-0.5,Male,
Calle Pasteur,Pasteur,,-0.5,Male,
Calle Aurelio Melean,Aurelio Melean,,-0.5,Male,
Calle R. Torrico,R. Torrico,,-0.5,Male,
Calle Franklin Anaya,Franklin Anaya,,-0.49,Male,
Avenida Guillermo Urquidi,Guillermo Urquidi,,-0.5,Male,
Avenida Rubén Dario,Rubén Dario,,-1.0,Male,
Avenida Franz Tamayo,Franz Tamayo,,-0.5,Male,
Calle Francisco Palau,Francisco Palau,,-0.5,Male,
Calle Juana Azurduy de Padilla,Juana Azurduy Padilla,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Azurduy
Calle Los Angeles,Los Angeles,,-1.0,Male,
Calle Joseph Maldonado,Joseph Maldonado,,-0.5,Male,
Calle Cardenal Terrazas,Cardenal Terrazas,,-1.0,Male,
Avenida Blanco Galindo,Blanco Galindo,,-0.45,Male,
Avenida Victor Ustariz,Victor Ustariz,,-0.99,Male,
Avenida Pedro Sarmiento de Gamboa,Pedro Sarmiento Gamboa,,-0.5,Male,
Avenida Daniel Campos,Daniel Campos,,-0.5,Male,
Calle Francisco Padilla,Francisco Padilla,,-0.5,Male,
Calle Manuel Ugalde,Manuel Ugalde,,-0.5,Male,
Calle Melquiades Cossio,Melquiades Cossio,,-0.49,Male,
Calle Tte. José Rosetti,Tte. José Rosetti,,-0.65,Male,
Calle Hernan Morales,Hernan Morales,,-1.0,Male,
Calle Juan José Pérez,Juan José Pérez,,-0.99,Male,
Calle Sbtte. Hernan Morales,Sbtte. Hernan Morales,,-1.0,Male,
Calle Subteniente Aranibar,Subteniente Aranibar,,-0.5,Male,
Calle Cornelio Saavedra,Cornelio Saavedra,,-0.5,Male,
Calle Julio Zambrana,Julio Zambrana,,-0.5,Male,
Calle Monseñor J. Garret Delgado,Monseñor J. Garret Delgado,,-0.29,Male,
Calle Monseñor J. Maria Montenegro,Monseñor J. Maria Montenegro,,0.98,Male,
Calle Rev. P. Raymundo Herman,Rev. P. Raymundo Herman,,-0.28,Male,
Calle Raúl Arce,Raúl Arce,,-0.5,Male,
Avenida Arquímedes,Arquímedes,,-0.5,Male,
Calle Teniente José Lopez,Teniente José Lopez,,-0.3,Male,
Calle Tte. José Lopez,Tte. José Lopez,,-0.65,Male,
Calle Montenegro,Montenegro,,-0.5,Male,
Avenida Capitán Rafael Pabón,Capitán Rafael Pabón,,-0.5,Male,
Calle Teniente Coronel Guillermo Sanchez,Teniente Coronel Guillermo Sanchez,,-0.5,Male,
Calle Capitán Hector Quiroga,Capitán Hector Quiroga,,-0.5,Male,
Avenida Amalia Villa de la Tapia,Amalia Villa Tapia,,1.0,Female,https://es.wikipedia.org/wiki/Amalia_Villa_de_la_Tapia
Calle Enrique Rojas,Enrique Rojas,,-0.5,Male,
Calle Capitán Walter Baya,Capitán Walter Baya,,-0.49,Male,
Calle Tte. Cordero,Tte. Cordero,,-0.49,Male,
Avenida Juana Azurduy,Juana Azurduy,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Azurduy
Avenida Beneméritos del Chaco,Beneméritos Chaco,,-0.5,Male,
Calle Subteniente Jose Kanaut Dorado,Subteniente Jose Kanaut Dorado,,-0.49,Male,
Avenida Alfonso Arce,Alfonso Arce,,-0.5,Male,
Calle Luis Uriona,Luis Uriona,,-0.5,Male,
Avenida Guillermo Killman,Guillermo Killman,,-0.5,Male,
Calle Jorge Oilert,Jorge Oilert,,-1.0,Male,
Pasaje Walter Rocha,Walter Rocha,,-0.49,Male,
Calle Walter Rocha,Walter Rocha,,-0.49,Male,
Calle Santa Martha,Santa Martha,,1.0,Female,
Avenida Juana Azurduy de Padilla,Juana Azurduy Padilla,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Azurduy
Avenida Rafael Urquidi,Rafael Urquidi,,-0.5,Male,
Calle General Acha,General Acha,,-0.47,Male,
Calle Jordán,Jordán,,-0.5,Male,
Calle Teodocio Caero,Teodocio Caero,,-0.49,Male,
Calle Ladislao Cabrera,Ladislao Cabrera,,-0.5,Male,
Calle Pachamama,Pachamama,,-0.5,Female,https://es.wikipedia.org/wiki/Pachamama
Calle General Achá,General Achá,,-0.5,Male,
Calle Mendez Arcos,Mendez Arcos,,-0.5,Male,
Calle Plaza Esteban Arze,Plaza Esteban Arze,,-0.5,Male,
Avenida Bartolomé Guzmán,Bartolomé Guzmán,,-0.5,Male,
Calle Walter Lehm,Walter Lehm,,-0.99,Male,
Calle Huascar,Huascar,,-0.5,Male,
Calle Los Comuneros,Los Comuneros,,-0.99,Male,
Calle Los Andes,Los Andes,,-0.99,Male,
Calle W. Zabalaga,W. Zabalaga,,-0.47,Male,
Calle Jose Aguirre Gainsborg,Jose Aguirre Gainsborg,,-0.49,Male,
Avenida Rafael Pabón,Rafael Pabón,,-0.5,Male,
Calle Subteniente Beltran,Subteniente Beltran,,-0.5,Male,
Calle J. M. del Carpio,J. M. Carpio,,-0.41,Male,
Avenida Siles,Siles,,-1.0,Male,
Avenida de la Fuerza Aérea,Fuerza Aérea,,-0.5,Male,
