calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Praça Padre João Bagozzi;Praça Padre João Bagozzi;Praça;Padre;-2;Male;-;-;
Rodovia Vereador Admar Bertolli;Vereador Admar Bertolli;Vereador;Admar;-2;Male;-;-;
Rua General Mário Tourinho;General Mário Tourinho;General;Mário;-2;Male;-;-;
Canaleta Exclusiva BRT;Canaleta Exclusiva BRT;Canaleta;Exclusiva;0;Unknown;-;-;
Rua Luiz Parigot de Souza;Luiz Parigot de Souza;Luiz;Parigot;-2;Male;-;-;
Rua Major França Gomes;Major França Gomes;Major;França;-2;Male;-;-;
Avenida Presidente Kennedy;Presidente Kennedy;Presidente;Kennedy;-2;Male;-;-;
Avenida República Argentina;República Argentina;República;Argentina;2;Unknown;-;-;
Avenida Brasília;Brasília;Brasília;;2;Unknown;-;-;
Rua Pedro Américo;Pedro Américo;Pedro;Américo;-2;Male;-;-;
Rua Rodolpho Senff Júnior;Rodolpho Senff Júnior;Rodolpho;Senff;-2;Male;-;-;
Avenida Visconde de Guarapuava;Visconde de Guarapuava;Visconde;de;-2;Male;-;-;
Rua Brasílio Itiberê;Brasílio Itiberê;Brasílio;Itiberê;-2;Male;-;-;
Travessa Lange;Lange;Lange;;2;Male;-;-;
Praça do Japão;Praça do Japão;Praça;do;0;Unknown;-;-;
Avenida Pedro Viriato Parigot de Souza;Pedro Viriato Parigot de Souza;Pedro;Viriato;-2;Male;-;-;
Rua Monsenhor Ivo Zanlorenzi;Monsenhor Ivo Zanlorenzi;Monsenhor;Ivo;-2;Male;-;-;
Avenida do Batel;do Batel;do;Batel;0;Unknown;-;-;
Rua Bispo Dom José;Bispo Dom José;Bispo;Dom;-2;Male;-;-;
Avenida Presidente Arthur da Silva Bernardes;Presidente Arthur da Silva Bernardes;Presidente;Arthur;-2;Male;-;-;
Avenida Presidente Getúlio Vargas;Presidente Getúlio Vargas;Presidente;Getúlio;-2;Male;-;-;
Avenida Silva Jardim;Silva Jardim;Silva;Jardim;2;Male;-;-;
Travessa Augusto Marach;Augusto Marach;Augusto;Marach;-2;Male;-;-;
Rua Catarina Scotti;Catarina Scotti;Catarina;Scotti;2;Female;-;-;
Rua Pedro Bonat;Pedro Bonat;Pedro;Bonat;-2;Male;-;-;
Rua Professor Pedro Viriato Parigot de Souza;Professor Pedro Viriato Parigot de Souza;Professor;Pedro;-2;Male;-;-;
Rua Levino Schier;Levino Schier;Levino;Schier;-2;Male;-;-;
Rua Engenheiro Niepce da Silva;Engenheiro Niepce da Silva;Engenheiro;Niepce;-2;Male;-;-;
Avenida Manoel Ribas;Manoel Ribas;Manoel;Ribas;-2;Male;-;-;
Rua Via Veneto;Rua  Veneto;Rua;;-2;Unknown;-;-;
Rua Capitão Antônio Pedri;Capitão Antônio Pedri;Capitão;Antônio;-2;Male;-;-;
Rodovia do Cerne;do Cerne;do;Cerne;0;Unknown;-;-;
Rua Saturnino Miranda;Saturnino Miranda;Saturnino;Miranda;-2;Male;-;-;
Rua Luíz Júlio;Luíz Júlio;Luíz;Júlio;-2;Male;-;-;
Rua Antônio Kaminski;Antônio Kaminski;Antônio;Kaminski;-2;Male;-;-;
