calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Plaza de la Almudena;Almudena;Almudena;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_la_Almudena
Avenida Jose Carlos Mariategui;Jose Carlos Mariategui;Jose;Carlos Mariategui;-2;Male;-;-;
Avenida Humberto Vidal Unda;Humberto Vidal Unda;Humberto;Vidal;-2;Male;-;-;
Avenida Antonio Lorena;Antonio Lorena;Antonio;Lorena;-2;Male;-;-;
Emiliano Huamantica;Emiliano Huamantica;Emiliano;Huamantica;-2;Male;-;-;
Calle RVDO Padre Juan Antonio Manya Ambur;RVDO Padre Juan Antonio Manya Ambur;RVDO Padre Juan Antonio; Manya Ambur;-2;Male;-;-;
Calle San Martin;San Martin;San;Martin;-2;Male;-;-;
Avenida Emiliano Huamantica;Emiliano Huamantica;Emiliano;Huamantica;-2;Male;-;-;
Calle Olaya;Olaya;Olaya;;2;Male;-;-;https://es.wikipedia.org/wiki/Teresa_Olaya
Avenida Virgen Natividad;VirgNatividad;VirgNatividad;;0;Female;-;-;
Almudena;Almudena;Almudena;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_la_Almudena
Flor de Ruffo;Flor de Ruffo;Flor de Ruffo;;2;Female;-;-;
Calle Mariano Melgar;Mariano Melgar;Mariano;Melgar;-2;Male;-;-;
Calle Cesar Vallejo;Cesar Vallejo;Cesar;Vallejo;-2;Male;-;-;
Puente Almudena;Almudena;Almudena;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_la_Almudena
Pasaje San Sebastian;San Sebastian;San Sebastian;;-2;Male;-;-;
Avenida San Marti­n;San Martin;San Martin;;-2;Male;-;-;
Mariano Melgar;Mariano Melgar;Mariano;Melgar;-2;Male;-;-;
Pasaje Simon Bolivar;Simon Boli­var;Simon;Boli­var;-2;Male;-;-;
Pasaje Jose Balta;Jose Balta;Jose;Balta;-2;Male;-;-;
Avenida Jose Antonio de Sucre;Jose Antonio Sucre;Jose Antonio;Sucre;-2;Male;-;-;
Calle Velasco Alvarado;Velasco Alvarado;Velasco;Alvarado;0;Male;-;-;
Calle Lizardo Montero;Lizardo Montero;Lizardo;Montero;-2;Male;-;-;
Avenida Simon Bolivar;Simon Bolivar;Simon;Bolivar;-2;Male;-;-;
Calle Augusto B. Leguia;Augusto B. Leguia;Augusto;B.;-2;Male;-;-;
Calle Jose Olaya;Jose Olaya;Jose;Olaya;-2;Male;-;-;
Calle General Ollanta;General Ollanta;General;Ollanta;0;Male;-;-;
Avenida Ricardo Palma;Ricardo Palma;Ricardo;Palma;-2;Male;-;-;
Calle Argentina;Argentina;Argentina;;2;Female;-;-;https://es.wikipedia.org/wiki/Argentina_Menis
Calle Mariscal Gamarra;Mariscal Gamarra;Mariscal;Gamarra;0;Male;-;-;
Calle Bolivar;Bolivar;Bolivar;;-2;Male;-;-;
Avenida Tupac Amaru;Tupac Amaru;Tupac;Amaru;-2;Male;-;-;
Avenida Vidal Unda;Vidal Unda;Vidal;Unda;-2;Male;-;-;
Plazoleta de San Blas;Plazoleta de San Blas;Plazoleta de San Blas;;-2;Male;-;-;
Plaza Santiago;Santiago;Santiago;;-2;Male;-;-;
Avenida Velasco Astete;Velasco Astete;Velasco;Astete;0;Male;-;-;
Avenida Garcilaso;Garcilaso;Garcilaso;;-2;Male;-;-;
Prolongacion Avenida Tupac Amaru;Prolongacion Avenida Tupac Amaru;Prolongacion Avenida Tupac;Amaru;-2;Male;-;-;
Calle Bolognesi;Bolognesi;Bolognesi;;0;Male;-;-;
Avenida Manco Capac;Manco Capac;Manco;Capac;0;Male;-;-;
Avenida Jose Olaya;Jose Olaya;Jose;Olaya;-2;Male;-;-;
Calle Luis Vallejo Santoni;Luis Vallejo Santoni;Luis;Vallejo;-2;Male;-;-;
Calle Alfonso Ugarte;Alfonso Ugarte;Alfonso;Ugarte;-2;Male;-;-;
Pasaje Inca Garcilazo;Inca Garcilazo;Inca;Garcilazo;2;Male;-;-;
Pasaje Trinidad Enrriquez;Trinidad Enrriquez;Trinidad;Enrriquez;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Trinidad_Enr%C3%ADquez
Pasaje Natividad;Natividad;Natividad;;2;Female;-;-;https://es.wikipedia.org/wiki/Natividad_Barroso
Calle Manuel Gonzales Prada;Manuel Gonzales Prada;Manuel;Gonzales;-2;Male;-;-;
Avenida Micaela Bastidas;Micaela Bastidas;Micaela;Bastidas;2;Female;-;-;https://es.wikipedia.org/wiki/Micaela_Bastidas
Mariscal Gamarra;Mariscal Gamarra;Mariscal;Gamarra;0;Male;-;-;
Avenida Grau;Grau;Grau;;-2;Male;-;-;
Prolongacion Avenida Grau;Prolongacion  Grau;Prolongacion;;-2;Male;-;-;
Calle Teodosio Serrudo;Teodosio Serrudo;Teodosio;Serrudo;-2;Male;-;-;
Guaman Poma de Ayala;Guaman Poma de Ayala;Guaman;Poma;2;Female;-;-;https://es.wikisource.org/wiki/Autor:Juana_Rosa_de_Am%C3%A9zaga
Plaza San Francisco;San Francisco;San Francisco;;-2;Male;-;-;
San Andres;San Andres;San Andres;;-2;Male;-;-;
Puente Grau;Grau;Grau;;-2;Male;-;-;
Plaza Belen;Belen;Belen;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_Bel%C3%A9n_(San_Mateo)
Calle General Buendi­a;General Buendi­a;General;Buendia;0;Male;-;-;
Calle Garcilaso;Garcilaso;Garcilaso;;-2;Male;-;-;
Cuesta de Santa Ana;Cuesta de Santa Ana;Cuesta de Santa Ana;;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Avenida Juan Anselmo Alvarez;Juan Anselmo Alvarez;Juan;Anselmo;-2;Male;-;-;
Avenida Pedro Vilcapaza;Pedro Vilcapaza;Pedro;Vilcapaza;-2;Male;-;-;
Ramon Castilla;Ramon Castilla;Ramon;Castilla;-2;Male;-;-;
Jiron Ramon Castilla;Jiron Ramon Castilla;Jiron;Ramon;-2;Male;-;-;
Manco Inka;Manco Inka;Manco;Inka;2;Female;-;-;https://es.wikipedia.org/wiki/Amanda_Anka
Avenida Huascar;Huascar;Huascar;;-2;Male;-;-;
Avenida Ramon Castilla;Ramon Castilla;Ramon;Castilla;-2;Male;-;-;
Calle Simon Bolivar;Simon Bolivar;Simon;Bolivar;-2;Male;-;-;
Calle Jorge Ochoa;Jorge Ochoa;Jorge;Ochoa;-2;Male;-;-;
Calle Victoria Palestina;Victoria Palestina;Victoria;Palestina;2;Female;-;-;https://es.wikipedia.org/wiki/Victoria_Valentino
Avenida Alfonso Ugarte;Alfonso Ugarte;Alfonso;Ugarte;-2;Male;-;-;
Giraldo Ruiz Caro;Giraldo Ruiz Caro;Giraldo;Ruiz;-2;Male;-;-;
Pasaje Mariano Melgar;Mariano Melgar;Mariano;Melgar;-2;Male;-;-;
Pasaje San Martin;San Martí­n;San;Martí­n;-2;Male;-;-;
Santa Clara;Santa Clara;Santa;Clara;2;Female;-;-;https://es.wikipedia.org/wiki/Santa_Clara_(Lima)
Calle Marcial Castilla;Marcial Castilla;Marcial;Castilla;-2;Male;-;-;
Marcial Velasquez;Marcial Velasquez;Marcial;Velasquez;-2;Male;-;-;
Avenida Jose Gabriel Cosio;Jose Gabriel Cosio;Jose;Gabriel;-2;Male;-;-;
Avenida Oswaldo Baca Mendoza;Oswaldo Baca Mendoza;Oswaldo;Baca;-2;Male;-;-;
Fransisco Sivirichi;Fransisco Sivirichi;Fransisco;Sivirichi;0;Male;-;-;
Trinidad Enriquez;Trinidad Enriquez;Trinidad;Enriquez;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Trinidad_Enr%C3%ADquez
Jiron David Chaparro;Jiron David Chaparro;Jiron;David;-2;Male;-;-;
Jiron Alberto Vegacenteno;Jiron Alberto Vegacenteno;Jiron;Alberto;-2;Male;-;-;
Jiron Humberto Luna;Jiron Humberto Luna;Jiron;Humberto;-2;Male;-;-;
Jiron Ricardo Palma;Jiron Ricardo Palma;Jiron;Ricardo;-2;Male;-;-;
Avenida TC Gordon Magna;TC Gordon Magna;TC;Gordon;-2;Male;-;-;
Avenida Emilio Barclay;Emilio Barclay;Emilio;Barclay;-2;Male;-;-;
Santa Catalina Angosta;Santa Catalina Angosta;Santa;Catalina;2;Female;-;-;https://es.wikipedia.org/wiki/Catalina_de_Siena
Santa Catalina Ancha;Santa Catalina Ancha;Santa;Catalina;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Catalina_Gonzaga_de_Mantua
Santa Monica;Santa Monica;Santa;Monica;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Santa_M%C3%B3nica_Lhuillier
San Agustin;San Agustin;San;Agustin;-2;Male;-;-;
Calle San Bernardo;San Bernardo;San;Bernardo;-2;Male;-;-;
Santa Teresa;Santa Teresa;Santa;Teresa;2;Female;-;-;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Avenida Tomasa Tito Condemayta;Tomasa Tito Condemayta;Tomasa;Tito;2;Female;-;-;https://es.wikipedia.org/wiki/Tomasa_Tito_Condemayta
Cuesta de San Blas;Cuesta de San Blas;Cuesta;de;-2;Male;-;-;
Los Angeles de Santa Maria;Los Angeles de Santa Maria;Los;Angeles;2;Female;-;-;https://es.wikipedia.org/wiki/Soraya_S%C3%A1enz_de_Santamar%C3%ADa
Santa Maria;Santa Mari­a;Santa;Maria;2;Female;-;-;https://es.wikipedia.org/wiki/Sina_Santa_Mar%C3%ADa
San Jose;San Jose;San;Jose;-2;Male;-;-;
Calle Manuel Callo;Manuel Callo;Manuel;Callo;-2;Male;-;-;
Pasaje Clorinda Matto Thurne;Clorinda Matto Thurne;Clorinda;Matto;2;Female;-;-;https://es.wikipedia.org/wiki/Clorinda_Matto_de_Turner
Francisco Romana;Francisco Romana;Francisco;Romana;-2;Male;-;-;
Pasaje Inca Roca;Inca Roca;Inca;Roca;2;Female;-;-;https://es.wikipedia.org/wiki/Romina_Rocamonje
Avenida D.C. Tupac Amaru;D.C. Tupac Amaru;D.C.;Tupac;-2;Male;-;-;
Avenida Luis Nieto;Luis Nieto;Luis;Nieto;-2;Male;-;-;
Don Bosco;Don Bosco;Don;Bosco;-2;Male;-;-;
Avenida Paz Soldan;Paz Soldan;Paz;Soldan;2;Female;-;-;https://es.wikipedia.org/wiki/Paz_Molina
Pasaje Ramon Castilla;Ramon Castilla;Ramon;Castilla;-2;Male;-;-;
Calle Fortunato Herrera;Fortunato Herrera;Fortunato;Herrera;-2;Male;-;-;
Calle Bernardo Alcedo;Bernardo Alcedo;Bernardo;Alcedo;-2;Male;-;-;
Jiron Jose Olaya;Jiron Jose Olaya;Jiron;Jose;-2;Male;-;-;
Avenida Abelardo Ugarte;Abelardo Ugarte;Abelardo;Ugarte;-2;Male;-;-;
Pasaje Jose Carlos Mariategui;Jose Carlos Mariategui;Jose;Carlos;-2;Male;-;-;
San Miguel;San Miguel;San;Miguel;-2;Male;-;-;
Calle Hipolito Tupac Amaru;Hipolito Tupac Amaru;Hipolito;Tupac;-2;Male;-;-;
Pasaje Diego Cristobal Tupac Amaru;Diego Cristobal Tupac Amaru;Diego;Cristobal;-2;Male;-;-;
Pasaje San Antonio;San Antonio;San;Antonio;-2;Male;-;-;
Calle Jose Olaya;Jose Olaya;Jose;Olaya;-2;Male;-;-;
Prolongacion Bolivar;Prolongacion Bolivar;Prolongacion;Bolivar;-2;Male;-;-;
Avenida Andres Avelino Caceres;Andres Avelino Caceres;Andres;Avelino;-2;Male;-;-;
Calle Mariano Santos;Mariano Santos;Mariano;Santos;-2;Male;-;-;
Ricardo Palma;Ricardo Palma;Ricardo;Palma;-2;Male;-;-;
Avenida Rafael Aguilar Paez;Rafael Aguilar Paez;Rafael;Aguilar;-2;Male;-;-;
Avenida Hipolito Unanue;Hipolito Unanue;Hipolito;Unanue;-2;Male;-;-;
San Vicente;San Vicente;San;Vicente;-2;Male;-;-;
Luis Uzategui;Luis Uzategui;Luis;Uzategui;-2;Male;-;-;
Avenida Jorge Ochoa;Jorge Ochoa;Jorge;Ochoa;-2;Male;-;-;
Daniel Alcides Carrion;Daniel Alcides Carrion;Daniel;Alcides;-2;Male;-;-;
Pasaje Mariscal Gamarra;Mariscal Gamarra;Mariscal;Gamarra;0;Male;-;-;
Calle Hipolito Unanue;Hipolito Unanue;Hipolito;Unanue;-2;Male;-;-;
Pasaje San Martin de Porres;San Martin Porres;San;Martí­n;-2;Male;-;-;
Pasaje Anibal Valencia;Anibal Valencia;Anibal;Valencia;-2;Male;-;-;
Jiron Julio C. Tello;Jiron Julio  Tello;Jiron;Julio;-2;Male;-;-;
Jose Maria Arguedas;Jose Maria Arguedas;Jose;Maria;-2;Male;-;-;
Jose Santos Chocano;Jose Santos Chocano;Jose;Santos;-2;Male;-;-;
Daniel Paiva F.;Daniel Paiva F.;Daniel;Paiva;-2;Male;-;-;
H. Simon Herrera F.;H. Simon Herrera F.;H.;Simon;-2;Male;-;-;
Cesar Vallejo;Cesar jo;Cesar;jo;-2;Male;-;-;
Puente Belen;Belen;Belen;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_Bel%C3%A9n_(San_Mateo)
Avenida Gaston Zapata;Gaston Zapata;Gaston;Zapata;-2;Male;-;-;
Avenida Roberto Acosta;Roberto Acosta;Roberto;Acosta;-2;Male;-;-;
Avenida Bolivar;Bolivar;Bolivar;;-2;Male;-;-;
Avenida Francisco Bolognesi;Francisco Bolognesi;Francisco;Bolognesi;-2;Male;-;-;
Prolongacion Calle Bolognesi;Prolongacion  Bolognesi;Prolongacion;;0;Male;-;-;
Calle San Martin;San Martin;San;Martin;-2;Male;-;-;
Calle Almagro;Almagro;Almagro;;0;Male;-;-;
M. Castilla;M. Castilla;M.;Castilla;0;Male ;-;-;
Calle Mariscal Caceres;Mariscal Caceres;Mariscal;Caceres;0;Male;-;-;
Calle Felipe Sicus;Felipe Sicus;Felipe;Sicus;-2;Male;-;-;
Calle Andres Alicante;Andres Alicante;Andres;Alicante;-2;Male;-;-;
Avenida Diego C. Tupac Amaru;Diego C. Tupac Amaru;Diego;C.;-2;Male;-;-;
Manuel Chavez;Manuel Chavez;Manuel;Chavez;-2;Male;-;-;
Victor Raul Haya T.;Victor Raul Haya T.;Victor;Raul;-2;Male;-;-;
Avenida Marcial Agustin Gamarra;Marcial Agustí­n Gamarra;Marcial;AgustÃín;-2;Male;-;-;
Avenida Jorge Chavez;Jorge Chavez;Jorge;Chavez;-2;Male;-;-;
Calle Ventura Monjaras;Ventura Monjaras;Ventura;Monjaras;2;Female;-;-;https://es.wikipedia.org/wiki/Ventura_Ccalamaqui
Calle Mariano Tupac Amaru Bastidas;Mariano Tupac Amaru Bastidas;Mariano;Tupac;-2;Male;-;-;
Calle Carmen Rosa Noguera;Carmen Rosa Noguera;Carmen Rosa ;Noguera;0;Female;-;-;
Nestor Valenzuela;Nestor Valenzuela;Nestor;Valenzuela;-2;Male;-;-;
Jiron Jose Carlos Mariategui;Jiron Jose Carlos Mariategui;Jiron;Jose;-2;Male;-;-;
Pasaje San Pedro;San Pedro;San;Pedro;-2;Male;-;-;
Pasaje Uriel Garcia;Uriel Garcia;Uriel;Garcia;-2;Male;-;-;
Pasaje Javier Heraud I;Javier Heraud I;Javier;Heraud;-2;Male;-;-;
Calle Fernando Belaunde Terry;Fernando BelaunTerry;Fernando;BelaunTerry;-2;Male;-;-;
Pasaje San Jorge;San Jorge;San;Jorge;-2;Male;-;-;
Pasaje San Miguel;San Miguel;San;Miguel;-2;Male;-;-;
Calle San Jose;San Jose;San;Jose;-2;Male;-;-;
Calle Augusto Cornejo;Augusto Cornejo;Augusto;Cornejo;-2;Male;-;-;
Pasaje San Luis;San Luis;San;Luis;-2;Male;-;-;
Calle Pachacutec;Pachacutec;Pachacutec;;0;Male;-;-;
Calle Tupac Yupanqui;Tupac Yupanqui;Tupac;Yupanqui;0;Male;-;-;
Pasaje Santa Rita;Santa Rita;Santa;Rita;2;Female;-;-;https://es.wikipedia.org/wiki/Rita_de_Casia
Pasaje Santa Ines;Santa Ines;Santa;Ines;2;Female;-;-;https://es.wikipedia.org/wiki/In%C3%A9s_de_Montepulciano
