calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Carrer Mare Teresa de Calcuta;Mare Teresa Calcuta;Mare;Teresa;2;Female;https://es.wikipedia.org/wiki/Teresa_de_Calcuta;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan Miró;Joan Miró;Joan;Miró;2;Male;https://es.wikipedia.org/wiki/Joan_Miró;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Miquela;Miquela;Miquela;;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda Assumpta;Assumpta;Assumpta;;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Constància;Constància;Constància;;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pau Casals;Pau Casals;Pau;Casals;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan Vilanova;Joan Vilanova;Joan;Vilanova;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Concòrdia;Concòrdia;Concòrdia;;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santa Afra;Santa Afra;Santa;Afra;2;Female;https://en.wikipedia.org/wiki/Saint_Afra;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Joan Maragall;Joan Maragall;Joan;Maragall;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Santa Anna;Santa Anna;Santa;Anna;2;Female;https://es.wikipedia.org/wiki/Ana_(madre_de_María);VERDADERO;;;;;;;;;;;;;;;;;;
Passeig Sant Joan;Sant Joan;Sant;Joan;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santa Magdalena;Santa Magdalena;Santa;Magdalena;2;Female;https://es.wikipedia.org/wiki/María_Magdalena;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Willy Brandt;Willy Brandt;Willy;Brandt;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Mercé Rodoreda;Mercé Rodoreda;Mercé;Rodoreda;2;Female;https://es.wikipedia.org/wiki/Merc%C3%A8_Rodoreda;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Caterina Albert;Caterina Albert;Caterina;Albert;2;Female;https://es.wikipedia.org/wiki/Caterina_Albert;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Marie Curie;Marie Curie;Marie;Curie;2;Female;https://es.wikiquote.org/wiki/Marie_Curie;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesca Bonnemaison i Farriols;Francesca Bonnemaison i Farriols;Francesca;Bonnemaison;2;Female;https://es.wikipedia.org/wiki/Francisca_Bonnemaison;VERDADERO;;;;;;;;;;;;;;;;;;
