calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;https://es.wikipedia.org/wiki/Clara_de_la_Cruz
Calle Montserrat;Montserrat;Montserrat;;2;Female;
Calle La Marta;La Marta;La;Marta;2;Female;
Quinta de Vanessa;Quinta de Vanessa;Quinta;de;2;Female;
Sendero Micaela;Micaela;Micaela;;2;Female;
Calle Casilda;Casilda;Casilda;;2;Female;
Calle Guadalupe;Guadalupe;Guadalupe;;2;Female;
Calle Amelia Granados;Amelia Granados;Amelia;Granados;2;Female;
Calle El Carmen;El Carmen;El;Carmen;2;Female;
Calle Don Carmen;Don Carmen;Don;Carmen;2;Female;
Calle Rocío;Rocío;Rocío;;2;Female;
Calle La Julieta;La Julieta;La;Julieta;2;Female;
Calle La Joaquina;La Joaquina;La;Joaquina;2;Female;
Calle Santa Paula;Santa Paula;Santa;Paula;2;Female;https://es.wikipedia.org/wiki/Paula_de_Roma
Avenida Amelia;Amelia;Amelia;;2;Female;
Calle Piedades;Piedades;Piedades;;2;Female;
Calle Fátima;Fátima;Fátima;;2;Female;
Calle Sara Soto;Sara Soto;Sara;Soto;2;Female;
Calle Ronda;Ronda;Ronda;;2;Female;
Calle Angélica;Angélica;Angélica;;2;Female;
Calle Angélica Norte;Angélica Norte;Angélica;Norte;2;Female;
Calle Higinia;Higinia;Higinia;;2;Female;
Calle Rosalinda;Rosalinda;Rosalinda;;2;Female;
Calle Rubí;Rubí;Rubí;;2;Female;
Boulevard Victoria;Victoria;Victoria;;2;Female;
Calle Nazareth;Nazareth;Nazareth;;2;Female;
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Calle María Ramos;María Ramos;María;Ramos;2;Female;
Calle La Catalina;La Catalina;La;Catalina;2;Female;
Calle La Paula;La Paula;La;Paula;2;Female;
Calle Julieta;Julieta;Julieta;;2;Female;
Calle Florencia;Florencia;Florencia;;2;Female;
Avenida Rosario;Rosario;Rosario;;2;Female;
Calle María Isabel;María Isabel;María;Isabel;2;Female;
Calle La Claudia;La Claudia;La;Claudia;2;Female;
Calle Sophia;Sophia;Sophia;;2;Female;
Calle Betania;Betania;Betania;;2;Female;
Calle La Paulina;La Paulina;La;Paulina;2;Female;
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;
Calle Claudia;Claudia;Claudia;;2;Female;
Avenida Asunción;Asunción;Asunción;;2;Female;
Avenida Alexa;Alexa;Alexa;;2;Female;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;
Calle Miranda;Miranda;Miranda;;2;Female;
Calle Nora Villegas;Nora Villegas;Nora;Villegas;2;Female;https://es.wikipedia.org/wiki/Leonor_Villegas_de_Magn%C3%B3n
Calle La Matilde;La Matilde;La;Matilde;2;Female;
Calle Venus;Venus;Venus;;2;Female;https://es.wikipedia.org/wiki/Venus_(mitolog%C3%ADa)
Calle Santa Catalina;Santa Catalina;Santa;Catalina;2;Female;https://es.wikipedia.org/wiki/Catalina_de_Alejandr%C3%ADa
Avenida Victoria;Victoria;Victoria;;2;Female;
Calle La Simona;La Simona;La;Simona;2;Female;
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;
Calle Abelina;Abelina;Abelina;;2;Female;
Avenida Santa Elena;Santa Elena;Santa;Elena;2;Female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Calle Estéfana;Estéfana;Estéfana;;2;Female;
Calle Santa Rosa;Santa Rosa;Santa;Rosa;2;Female;https://es.wikipedia.org/wiki/Rosa_de_Viterbo
Calle Inmaculada;Inmaculada;Inmaculada;;2;Female;
Calle Santa Eduviges;Santa Eduviges;Santa;Eduviges;2;Female;https://es.wikipedia.org/wiki/Eduviges_de_Andechs
Calle Trinidad;Trinidad;Trinidad;;2;Female;
Calle Eulalia;Eulalia;Eulalia;;2;Female;
Radial Santa Ana;Radial Santa Ana;Radial;Santa;2;Female;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Calle Delfina;Delfina;Delfina;;2;Female;
Calle Isabel Agüero;Isabel Agüero;Isabel;Agüero;2;Female;
Calle Carmen;Carmen;Carmen;;2;Female;
Calle Vica León;Vica León;Vica;León;2;Female;
Calle Santa Teresa;Santa Teresa;Santa;Teresa;2;Female;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Puente Yolanda Oreamuno;Yolanda Oreamuno;Yolanda;Oreamuno;2;Female;https://es.wikipedia.org/wiki/Yolanda_Oreamuno
Avenida Isabel La Católica;Isabel La Católica;Isabel;La;2;Female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Calle Ligia Méndez;Ligia Méndez;Ligia;Méndez;2;Female;
Calle Damiana;Damiana;Damiana;;2;Female;
Calle Emma Gamboa;Emma Gamboa;Emma;Gamboa;2;Female;https://es.wikipedia.org/wiki/Emma_Gamboa_Alvarado
Calle Viviana;Viviana;Viviana;;2;Female;
Calle Toño Mora;Toño Mora;Toño;Mora;2;Male;
Calle Chon Mora;Chon Mora;Chon;Mora;2;Male;
Calle Monte Carmelo;Monte Carmelo;Monte;Carmelo;2;Male;
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores;Tranquilino;Sáenz;2;Male;
Calle Faustinoi Montes de Oca;Faustinoi Montes Oca;Faustinoi;Montes;2;Male;
Calle San Rafael;San Rafael;San;Rafael;-2;Male;
Calle Del Cristo;Del Cristo;Del;Cristo;-2;Male;
Calle Jesús;Jesús;Jesús;;-2;Male;
Calle San Francisco;San Francisco;San;Francisco;-2;Male;
Calle Valerio;Valerio;Valerio;;-2;Male;
Avenida Joaquín González;Joaquín González;Joaquín;González;-2;Male;
Calle Don Ricardo;Don Ricardo;Don;Ricardo;-2;Male;
Calle San José;San José;San;José;-2;Male;
Calle Rincón de Ricardo;Rincón Ricardo;Rincón;Ricardo;-2;Male;
Puente Rincón de Ricardo;Puente  Ricardo;Puente;;-2;Male;
Calle San Martín;San Martín;San;Martín;-2;Male;
Calle Ignacio Bolaños;Ignacio Bolaños;Ignacio;Bolaños;-2;Male;
Calle San Antonio;San Antonio;San;Antonio;-2;Male;
Avenida Jesús Jiménez;Jesús Jiménez;Jesús;Jiménez;-2;Male;
Calle Pedro León;Pedro León;Pedro;León;-2;Male;
Calle Don Pedro;Don Pedro;Don;Pedro;-2;Male;
Calle Alfonso;Alfonso;Alfonso;;-2;Male;
Calle Vinicio Zamora;Vinicio Zamora;Vinicio;Zamora;-2;Male;
Calle Fernando Ramírez;Fernando Ramírez;Fernando;Ramírez;-2;Male;
Calle Rómulo;Rómulo;Rómulo;;-2;Male;
Calle Víctor Carballo;Víctor Carballo;Víctor;Carballo;-2;Male;
Calle Agustín Valerio;Agustín Valerio;Agustín;Valerio;-2;Male;
Calle Cristo Rey;Cristo Rey;Cristo;Rey;-2;Male;
Calle Lázaro;Lázaro;Lázaro;;-2;Male;
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;
Calle Lincoln;Lincoln;Lincoln;;-2;Male;
Calle Gonzalo Delgado;Gonzalo Delgado;Gonzalo;Delgado;-2;Male;
Calle San Vicente;San Vicente;San;Vicente;-2;Male;
Calle Fernando Herrera;Fernando Herrera;Fernando;Herrera;-2;Male;
Avenida São Paulo;São Paulo;São;Paulo;-2;Male;
Avenida Juan Manuel López del Corral;Juan Manuel López Corral;Juan;Manuel;-2;Male;
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;
Calle Fabio Molina;Fabio Molina;Fabio;Molina;-2;Male;
Calle Benjamín Solórzano;Benjamín Solórzano;Benjamín;Solórzano;-2;Male;
Calle San Juan;San Juan;San;Juan;-2;Male;
Avenida Santiago;Santiago;Santiago;;-2;Male;
Calle Joaquín Arias;Joaquín Arias;Joaquín;Arias;-2;Male;
Puente Francisco J. Orlich;Francisco J. Orlich;Francisco;J.;-2;Male;
Calle Asdrúbal Víquez;Asdrúbal Víquez;Asdrúbal;Víquez;-2;Male;
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;
Calle San Roque;San Roque;San;Roque;-2;Male;
Calle San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;
Calle Jesús Montero;Jesús Montero;Jesús;Montero;-2;Male;
Calle Juan León;Juan León;Juan;León;-2;Male;
Calle Don Lorenzo;Don Lorenzo;Don;Lorenzo;-2;Male;
Calle Paulino;Paulino;Paulino;;-2;Male;
Calle Miguel Garita;Miguel Garita;Miguel;Garita;-2;Male;
Calle Altos de San Pablo;Altos San Pablo;Altos;San;-2;Male;
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;
Avenida Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Calle José Muñoz;José Muñoz;José;Muñoz;-2;Male;
Calle Jericó;Jericó;Jericó;;-2;Male;
Calle Wilson Víquez;Wilson Víquez;Wilson;Víquez;-2;Male;
Avenida El Cristóbal;El Cristóbal;El;Cristóbal;-2;Male;
Alameda Manuel María Gutiérrez;Alameda Manuel María Gutiérrez;Alameda;Manuel;-2;Male;
Avenida Luis R. Flores;Luis R. Flores;Luis;R.;-2;Male;
Alameda Wenceslao Argüello;Alameda Wenceslao Argüello;Alameda;Wenceslao;-2;Male;
Avenida Rafael Moya M.;Rafael Moya M.;Rafael;Moya;-2;Male;
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;
Calle Manuel Benavides;Manuel Benavides;Manuel;Benavides;-2;Male;
Calle Franklin D. Roosevelt;Franklin D. Roosevelt;Franklin;D.;-2;Male;
Calle Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;
Calle Omar Dengo Guerrero;Omar Dengo Guerrero;Omar;Dengo;-2;Male;
Avenida Amando Céspedes Marín;Amando Céspedes Marín;Amando;Céspedes;-2;Male;
Calle Julián Volio;Julián Volio;Julián;Volio;-2;Male;
Calle Manuel Benavides R.;Manuel Benavides R.;Manuel;Benavides;-2;Male;
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña;Pedro;Henríquez;-2;Male;
Calle Napoleón Quesada;Napoleón Quesada;Napoleón;Quesada;-2;Male;
Calle Don Tito;Don Tito;Don;Tito;-2;Male;
Avenida Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male;
Calle Rodney Herrera;Rodney Herrera;Rodney;Herrera;-2;Male;
Calle Juan XXIII;Juan XXIII;Juan;XXIII;-2;Male;
Avenida Víctor Méndez;Víctor Méndez;Víctor;Méndez;-2;Male;
Calzada Gastón Michelli;Gastón Michelli;Gastón;Michelli;-2;Male;
Avenida Ricardo Orfila;Ricardo Orfila;Ricardo;Orfila;-2;Male;
Calle Claudio Rodríguez;Claudio Rodríguez;Claudio;Rodríguez;-2;Male;
Calle Justo Hernández;Justo Hernández;Justo;Hernández;-2;Male;
Calle Juan Martínez;Juan Martínez;Juan;Martínez;-2;Male;
Calle San Miguel;San Miguel;San;Miguel;-2;Male;
Calle Florencio del Castillo;Florencio Castillo;Florencio;Castillo;-2;Male;
Calle San Diego;San Diego;San;Diego;-2;Male;
Calle San Carlos;San Carlos;San;Carlos;-2;Male;
Calle San Sebastián;San Sebastián;San;Sebastián;-2;Male;
Calle Ricardo Solano;Ricardo Solano;Ricardo;Solano;-2;Male;
Calle Isidro;Isidro;Isidro;;-2;Male;
Calle San Gabriel;San Gabriel;San;Gabriel;-2;Male;
Puente Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Calle Rafael Barroeta;Rafael Barroeta;Rafael;Barroeta;-2;Male;
Calle León Cortés;León Cortés;León;Cortés;-2;Male;
Boulevard Ernesto Rohrmoser;Ernesto Rohrmoser;Ernesto;Rohrmoser;-2;Male;
Puente Juan Pablo II;Juan Pablo II;Juan;Pablo;-2;Male;
Calle Noé Marín;Noé Marín;Noé;Marín;-2;Male;
Calle Samuel Piano;Samuel Piano;Samuel;Piano;-2;Male;
Calle Juan Santana;Juan Santana;Juan;Santana;-2;Male;
Calle Jesús León;Jesús León;Jesús;León;-2;Male;
Calle Francisco Corrales;Francisco Corrales;Francisco;Corrales;-2;Male;
Calle Manuel Sandí;Manuel Sandí;Manuel;Sandí;-2;Male;
Avenida Manuel María de Peralta;Manuel María Peralta;Manuel;María;-2;Male;
Avenida Mauro Fernández;Mauro Fernández;Mauro;Fernández;-2;Male;
Avenida Presidente Roosevelt;Presidente Roosevelt;Presidente;Roosevelt;-2;Male;
Avenida José Cecilio del Valle;José Cecilio Valle;José;Cecilio;-2;Male;
Avenida Eladio Prado Sáenz;Eladio Prado Sáenz;Eladio;Prado;-2;Male;
Avenida Nicolás Marín;Nicolás Marín;Nicolás;Marín;-2;Male;
Calle Alfredo Volio;Alfredo Volio;Alfredo;Volio;-2;Male;
Calle Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;
Calle Juan Rafael Mora;Juan Rafael Mora;Juan;Rafael;-2;Male;
Avenida Carlos Gagini;Carlos Gagini;Carlos;Gagini;-2;Male;
Avenida Manuel de Jesús Jiménez;Manuel Jesús Jiménez;Manuel;Jesús;-2;Male;
Avenida Jenaro Cardona;Jenaro Cardona;Jenaro;Cardona;-2;Male;
Avenida Libertador Juan Rafael Mora;Libertador Juan Rafael Mora;Libertador;Juan;-2;Male;
Avenida Simón Bolívar;Simón Bolívar;Simón;Bolívar;-2;Male;
Calle Fray Martín de Porres;Fray Martín Porres;Fray;Martín;-2;Male;
Rotonda de San Sebastián;San Sebastián;San;Sebastián;-2;Male;
Avenida Adolfo Carit Eva;Adolfo Carit Eva;Adolfo;Carit;-2;Male;
Calle Marcial Segura;Marcial Segura;Marcial;Segura;-2;Male;
Calle San Bosco;San Bosco;San;Bosco;-2;Male;
Calle San Cayetano;San Cayetano;San;Cayetano;-2;Male;
Calle San Pancracio;San Pancracio;San;Pancracio;-2;Male;
Avenida José María Alfaro Cooper;José María Alfaro Cooper;José;María;-2;Male;
Avenida Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male;
Paseo Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;
Calle Edgar Ardón;Edgar Ardón;Edgar;Ardón;-2;Male;
Rotonda Luis Cruz Mesa;Luis Cruz Mesa;Luis;Cruz;-2;Male;
Calle Juan Félix Acuña;Juan Félix Acuña;Juan;Félix;-2;Male;
Calle Marín Muñoz;Marín Muñoz;Marín;Muñoz;-2;Male;
Calle Amador;Amador;Amador;;-2;Male;
Calle Crisóstomo Porras;Crisóstomo Porras;Crisóstomo;Porras;-2;Male;
