calle;calleClean;name;surname;fiabilidad;gender;categoria;typeofroad;wikipedia
Carretera de Chimillas;Carretera de Chimillas;Carretera;de;0;Unknown;;;
Carretera de Banariés;Carretera de Banariés;Carretera;de;0;Unknown;;;
Calle de la Iglesia;Iglesia;Iglesia;;0;Unknown;;;
Camino de Huesca a Chimillas;Huesca a Chimillas;Huesca;a;0;Unknown;;;
Calle de Torres Secas;Torres Secas;Torres;Secas;0;Unknown;;;
Calle de el Balsón;el Balsón;el;Balsón;0;Unknown;;;
Calle de la Fuente;Fuente;Fuente;;0;Unknown;;;
Carretera de Huerrios;Carretera de Huerrios;Carretera;de;0;Unknown;;;
Camino Viejo de Cillas;Viejo Cillas;Viejo;Cillas;0;Unknown;;;
Calle de Gratal;Gratal;Gratal;;0;Unknown;;;
Calle de la Bala;Bala;Bala;;0;Unknown;;;
Avenida de Nuestra Señora de Loreto;Nuestra Señora de Loreto;Nuestra;Señora;2;Female;;;https://es.wikipedia.org/wiki/Virgen_de_Loreto
Calle la Fuente;la Fuente;la;Fuente;0;Unknown;;;
Camino de Zaragoza;Zaragoza;Zaragoza;;0;Unknown;;;
Camino Viejo de Huesca a Lupiñén;Viejo Huesca a Lupiñén;Viejo;Huesca;0;Unknown;;;
Calle de Laureano Lanuza;Laureano Lanuza;Laureano;Lanuza;-2;Male;;;
Carretera de Huesca a Puente la Reina;Carretera Huesca a  la Reina;Carretera;Huesca;0;Unknown;;;
Calle de Huesca;Huesca;Huesca;;0;Unknown;;;
Camino de Rochel;Rochel;Rochel;;0;Unknown;;;
Carretera de Alicante a Francia por Zaragoza;Carretera de Alicante a Francia por Zaragoza;Carretera;de;0;Unknown;;;
Plaza de López Allué;López Allué;López;Allué;-2;Male;;;
Plaza de San Pedro;San Pedro;San;Pedro;-2;Male;;;
Plaza de Andalucía;Andalucía;Andalucía;;0;Unknown;;;
Plaza Canarias;Canarias;Canarias;;0;Unknown;;;
Plaza Cataluña;Cataluña;Cataluña;;0;Unknown;;;
Plaza País Vasco;País Vasco;País;Vasco;-2;Male;;;
Plaza de Extremadura;Extremadura;Extremadura;;0;Unknown;;;
Plaza de la Universidad;Universidad;Universidad;;0;Unknown;;;
Plaza de Arista;Arista;Arista;;0;Unknown;;;
Plaza de Latre;Latre;Latre;;0;Unknown;;;
Plaza de los Fueros de Aragón;Fueros Aragón;Fueros;Aragón;0;Unknown;;;
Plaza Castilla La Mancha;Castilla La Mancha;Castilla;La;0;Unknown;;;
Plaza de San Bernardo;San Bernardo;San;Bernardo;-2;Male;;;
Plaza del Justicia;Justicia;Justicia;;0;Unknown;;;
Plaza de la Moneda;Moneda;Moneda;;0;Unknown;;;
Plaza de Montearagón;Montearagón;Montearagón;;0;Unknown;;;
Plaza de Santo Domingo;Santo Domingo;Santo;Domingo;-2;Male;;;
Plaza de San Félix;San Félix;San;Félix;-2;Male;;;
Plaza de San Voto;San Voto;San;Voto;-2;Male;;;
Plaza de Nuestra Señora de Jara;Nuestra Señora de Jara;Nuestra;Señora;2;Female;;;https://es.wikipedia.org/wiki/Ermita_de_Nuestra_Se%C3%B1ora_de_la_Jara
Plaza Urreas;Urreas;Urreas;;0;Unknown;;;
Plaza de San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;;;
Plaza del Temple;Temple;Temple;;0;Unknown;;;
Plaza del Conde de Guara;Conde Guara;Conde;Guara;-2;Male;;;
Plaza Mayor;Mayor;Mayor;;0;Unknown;;;
Plaza Manuel Abad;Manuel Abad;Manuel;Abad;-2;Male;;;
Plaza de las Carmelitas;Carmelitas;Carmelitas;;2;Female;;;
Plaza de Urriés;Urriés;Urriés;;0;Unknown;;;
Travesía de Atares;Travesía de Atares;Travesía;de;0;Unknown;;;
Pasaje Almériz;Almériz;Almériz;;0;Unknown;;;
Escalinata Universidad;Escalinata Universidad;Escalinata;Universidad;0;Unknown;;;
Plaza de Lizana;Lizana;Lizana;;0;Unknown;;;
Costanilla de Oteiza;Costanilla de Oteiza;Costanilla;de;0;Unknown;;;
Travesía de la Universidad;Travesía de la Universidad;Travesía;de;0;Unknown;;;
Avenida del Doctor Artero;Doctor Artero;Doctor;Artero;-2;Male;;;
Avenida de la Paz;Paz;Paz;;0;Unknown;;;
Plaza Luis Buñuel;Luis Buñuel;Luis;Buñuel;-2;Male;;;
Calle de Miguel Servet;Miguel Servet;Miguel;Servet;-2;Male;;;
Calle de Moya;Moya;Moya;;0;Unknown;;;
Avenida de los Danzantes de Huesca;Danzantes Huesca;Danzantes;Huesca;0;Unknown;;;
Calle Obispo Javier Osés Flamarique;Obispo Javier Osés Flamarique;Obispo;Javier;-2;Male;;;
Carretera de Tarragona a San Sebastián y Bilbao;Carretera de Tarragona a San Sebastián y Bilbao;Carretera;de;0;Unknown;;;
Travesía de Ballesteros;Travesía de Ballesteros;Travesía;de;0;Unknown;;;
Carretera de Francia;Carretera de Francia;Carretera;de;0;Unknown;;;
Ronda de Montearagón;Ronda de Montearagón;Ronda;de;0;Unknown;;;
Paseo de Ramón y Cajal;Ramón y Cajal;Ramón;y;-2;Male;;;
Ronda Magistrado Cecilio Serena;Ronda Magistrado Cecilio Serena;Ronda;Magistrado;-2;Male;;;
Calle del Parque;Parque;Parque;;0;Unknown;;;
Camino del Pedregal;Pedregal;Pedregal;;0;Unknown;;;
Calle Aragón;Aragón;Aragón;;0;Unknown;;;
Calle Gregorio Campaña;Gregorio Campaña;Gregorio;Campaña;-2;Male;;;
Calle de la División 52;División 52;División;52;0;Unknown;;;
Calle del Velódromo;Velódromo;Velódromo;;0;Unknown;;;
Calle Gibraltar;Gibraltar;Gibraltar;;0;Unknown;;;
Calle de San Vicente de Paúl;San Vicente de Paúl;San;Vicente;-2;Male;;;
Paseo de Lucas Mallada;Lucas Mallada;Lucas;Mallada;-2;Male;;;
Calle Balsas de Chirín;Balsas Chirín;Balsas;Chirín;0;Unknown;;;
Calle de Ramón José Sender;Ramón José Sender;Ramón;José;-2;Male;;;
Calle de Pío XII;Pío XII;Pío;XII;-2;Male;;;
Calle Valencia;Valencia;Valencia;;0;Unknown;;;
Calle de Nuestra Señora de la Huerta;Nuestra Señora Huerta;Nuestra;Señora;2;Female;;;
Calle de Joaquin Roig;Joaquin Roig;Joaquin;Roig;-2;Male;;;
Calle de Rafael Salillas;Rafael Salillas;Rafael;Salillas;-2;Male;;;
Calle del Tenor Miguel Fleta;Tenor Miguel Fleta;Tenor;Miguel;-2;Male;;;
Calle del Hermano Martín Coronas;Hermano Martín Coronas;Hermano;Martín;-2;Male;;;
Ronda del Isuela;Ronda del Isuela;Ronda;del;0;Unknown;;;
Calle Cordeleros;Cordeleros;Cordeleros;;0;Unknown;;;
Calle Fornillos;Fornillos;Fornillos;;0;Unknown;;;
Calle Zona Deportiva;Zona Deportiva;Zona;Deportiva;0;Unknown;;;
Calle de Sena;Sena;Sena;;0;Unknown;;;
Calle de Daniel Montorio;Daniel Montorio;Daniel;Montorio;-2;Male;;;
Calle de Pedro Arnal Cavero;Pedro Arnal Cavero;Pedro;Arnal;-2;Male;;;
Ronda Misericordia;Ronda Misericordia;Ronda;Misericordia;0;Unknown;;;
Coso Alto;Coso Alto;Coso;Alto;0;Unknown;;;
Porches de Galicia;Porches de Galicia;Porches;de;0;Unknown;;;
Plaza Unidad Nacional;Unidad Nacional;Unidad;Nacional;0;Unknown;;;
Calle de Camila Gracia;Camila Gracia;Camila;Gracia;2;Female;;;
Calle Tenerias;Tenerias;Tenerias;;0;Unknown;;;
Calle de la Duquesa de Villahermosa;Duquesa Villahermosa;Duquesa;Villahermosa;2;Female;;;https://es.wikipedia.org/wiki/Calle_Duquesa_Villahermosa_(Huesca)
Calle de Goya;Goya;Goya;;-2;Male;;;
Calle de las Cortes;Cortes;Cortes;;0;Unknown;;;
Calle de Forment;Forment;Forment;;0;Unknown;;;
Calle de Sancho Abarca;Sancho Abarca;Sancho;Abarca;-2;Male;;;
Calle de Ramiro el Monje;Ramiro el Monje;Ramiro;el;-2;Male;;;
Calle del General Alsina;General Alsina;General;Alsina;-2;Male;;;
Calle de Joaquín Costa;Joaquín Costa;Joaquín;Costa;-2;Male;;;
Avenida de Monreal;Monreal;Monreal;;0;Unknown;;;
Calle Canellas;Canellas;Canellas;;0;Unknown;;;
Calle de Nuestra Señora de Cillas;Nuestra Señora de Cillas;Nuestra;Señora;2;Female;;;https://es.wikipedia.org/wiki/Cillas_(Huesca)
Calle de los Santos Justo y Pastor;Santos Justo y Pastor;Santos;Justo;-2;Male;;;
Calle de Pedro IV;Pedro IV;Pedro;IV;-2;Male;;;
Calle de Doña Petronila;Doña Petronila;Doña;Petronila;2;Female;;;https://es.wikipedia.org/wiki/Petronila_I_de_Arag%C3%B3n
Costanilla del Suspiro;Costanilla del Suspiro;Costanilla;del;0;Unknown;;;
Costanilla de Amedo;Costanilla de Amedo;Costanilla;de;0;Unknown;;;
Calle San Salvador;San Salvador;San;Salvador;-2;Male;;;
Travesía de Cortés;Travesía de Cortés;Travesía;de;0;Unknown;;;
Costanilla de Lastanosa;Costanilla de Lastanosa;Costanilla;de;0;Unknown;;;
Costanilla de la Asunción;Costanilla de la Asunción;Costanilla;de;0;Unknown;;;
Calle de Dormer;Dormer;Dormer;;0;Unknown;;;
Plaza Mosén Demetrio Segura;Mosén Demetrio Segura;Mosén;Demetrio;-2;Male;;;
Calle de Azara;Azara;Azara;;-2;Male;;;
Calle de San Bernardo;San Bernardo;San;Bernardo;-2;Male;;;
Calle Alfonso I de Aragón;Alfonso I Aragón;Alfonso;I;-2;Male;;;
Costanilla de Sellán;Costanilla de Sellán;Costanilla;de;0;Unknown;;;
Calle de Aínsa;Aínsa;Aínsa;;0;Unknown;;;
Calle de Santiago;Santiago;Santiago;;-2;Male;;;
Calle de Rafael Gil;Rafael Gil;Rafael;Gil;-2;Male;;;
Calle Menéndez Pidal;Menéndez Pidal;Menéndez;Pidal;-2;Male;;;
Avenida del Santo Grial;Santo Grial;Santo;Grial;0;Unknown;;;
Calle de la Jota Aragonesa;Jota Aragonesa;Jota;Aragonesa;0;Unknown;;;
Calle de San Jorge;San Jorge;San;Jorge;-2;Male;;;
Calle de Loreto;Loreto;Loreto;;2;Female;;;https://es.wikipedia.org/wiki/Virgen_de_Loreto
Calle Amistad;Amistad;Amistad;;0;Unknown;;;
Calle de Capuchinas;Capuchinas;Capuchinas;;2;Female;;;https://es.wikipedia.org/wiki/Nuevo_Convento_de_Nuestra_Se%C3%B1ora_del_Pilar_de_las_Madres_Capuchinas
Calle Rector Sichar;Rector Sichar;Rector;Sichar;-2;Male;;;
Calle del General Lasheras;General Lasheras;General;Lasheras;-2;Male;;;
Calle San Ciprián;San Ciprián;San;Ciprián;-2;Male;;;
Calle de Emilio Bara;Emilio Bara;Emilio;Bara;-2;Male;;;
Plaza de San Vicente;San Vicente;San;Vicente;-2;Male;;;
Calle del Desengaño;Desengaño;Desengaño;;0;Unknown;;;
Calle de Ricafort;Ricafort;Ricafort;;-2;Male;;;
Calle del Padre Huesca;Padre Huesca;Padre;Huesca;0;Unknown;;;
Calle de Perena;Perena;Perena;;0;Unknown;;;
Calle del Olmo;Olmo;Olmo;;0;Unknown;;;
Calle de Heredia;Heredia;Heredia;;0;Unknown;;;
Calle de las Huertas;Huertas;Huertas;;0;Unknown;;;
Calle de Sancho Ramírez;Sancho Ramírez;Sancho;Ramírez;-2;Male;;;
Calle de Berenguer;Berenguer;Berenguer;;-2;Male;;;
Calle de la Campana de Huesca;Campana Huesca;Campana;Huesca;0;Unknown;;;
Calle de Sobrarbe;Sobrarbe;Sobrarbe;;0;Unknown;;;
Calle Conde de Aranda;Conde Aranda;Conde;Aranda;-2;Male;;;
Ronda de la Industria;Ronda de la Industria;Ronda;de;0;Unknown;;;
Paseo Gregoria Ciprés;Gregoria Ciprés;Gregoria;Ciprés;2;Female;;;
Paseo Carlos Vidal;Carlos Vidal;Carlos;Vidal;-2;Male;;;
Calle del Palacio;Palacio;Palacio;;0;Unknown;;;
Calle Niágara;Niágara;Niágara;;0;Unknown;;;
Calle Cuatro Reyes;Cuatro Reyes;Cuatro;Reyes;0;Unknown;;;
Calle de Ricardo del Arco;Ricardo Arco;Ricardo;Arco;-2;Male;;;
Calle Las Ciencias;Las Ciencias;Las;Ciencias;0;Unknown;;;
Calle Jaca;Jaca;Jaca;;0;Unknown;;;
Calle Siderurgia;Siderurgia;Siderurgia;;0;Unknown;;;
Calle Artes Gráficas;Artes Gráficas;Artes;Gráficas;0;Unknown;;;
Calle Ganadería;Ganadería;Ganadería;;0;Unknown;;;
Calle de la Mecánica;Mecánica;Mecánica;;0;Unknown;;;
Calle Ana Abarca de Bolea;Ana Abarca Bolea;Ana;Abarca;2;Female;;;https://es.wikipedia.org/wiki/Ana_Francisca_Abarca_de_Bolea
Calle de Fraga;Fraga;Fraga;;0;Unknown;;;
Avenida María Moliner;María Moliner;María;Moliner;2;Female;;;https://es.wikipedia.org/wiki/Mar%C3%ADa_Moliner
Calle de Félix Lafuente;Félix Lafuente;Félix;Lafuente;-2;Male;;;
Calle Alcalde Emilio Miravé Díez;AlcalEmilio Miravé Díez;AlcalEmilio;Miravé;-2;Male;;;
Calle Padre Querbes;Padre Querbes;Padre;Querbes;-2;Male;;;
Calle Fuente del Ibón;Fuente Ibón;Fuente;Ibón;0;Unknown;;;
Calle Alcalde José Antonio Llanas Almudévar;AlcalJosé Antonio Llanas Almudévar;AlcalJosé;Antonio;-2;Male;;;
Calle Madrid;Madrid;Madrid;;0;Unknown;;;
Avenida del Santo Cristo de los Milagros;Santo Cristo Milagros;Santo;Cristo;-2;Male;;;
Calle Murcia;Murcia;Murcia;;0;Unknown;;;
Calle Minería;Minería;Minería;;0;Unknown;;;
Calle Agricultura;Agricultura;Agricultura;;0;Unknown;;;
Calle Artesanía;Artesanía;Artesanía;;0;Unknown;;;
Calle Magantina;Magantina;Magantina;;0;Unknown;;;
Calle Estrecho Quinto;Estrecho Quinto;Estrecho;Quinto;0;Unknown;;;
Camino de Miquera;Miquera;Miquera;;0;Unknown;;;
Ronda de Salas;Ronda de Salas;Ronda;de;0;Unknown;;;
Calle de Valentín Gardeta;Valentín Gardeta;Valentín;Gardeta;-2;Male;;;
Calle de Alfareros;Alfareros;Alfareros;;0;Unknown;;;
Calle Artiga;Artiga;Artiga;;0;Unknown;;;
Calle Escalinata;Escalinata;Escalinata;;0;Unknown;;;
Carretera de Fornillos y Barluenga;Carretera de Fornillos y Barluenga;Carretera;de;0;Unknown;;;
Calle Única;Única;Única;;0;Unknown;;;
Calle de Zacarías Martínez;Zacarías Martínez;Zacarías;Martínez;-2;Male;;;
Pasaje Nuestra Señora de Begoña;Nuestra Señora Begoña;Nuestra;Señora;2;Female;;;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Bego%C3%B1a
Plaza Pico de Guara;Pico Guara;Pico;Guara;0;Unknown;;;
Pasaje Golondrinas;Golondrinas;Golondrinas;;0;Unknown;;;
Calle Tamarite;Tamarite;Tamarite;;0;Unknown;;;
Calle Pedro Sopena;Pedro Sopena;Pedro;Sopena;-2;Male;;;
Calle Monzón;Monzón;Monzón;;0;Unknown;;;
