Unión Postal;Unión Postal;;-0.5;Male
Romero;Romero;;-0.5;Male
Av. Niños Heroes de Chapultepec;Niños Heroes Chapultepec;;-0.5;Male
Agustin Melgar;Agustin Melgar;;-0.5;Male
Priv. Lago;Priv. Lago;;-0.87;Male
Palermo;Palermo;;-1.0;Male
Priv. Luisa;Priv. Luisa;;1.0;Female
Albert;Albert;;-0.99;Male
Emiliano Zapata;Emiliano Zapata;;-0.5;Male
Calz. Ermita Iztapalapa;Ermita Iztapalapa;;1.0;Female
Fracisco RojasGonzález;Fracisco RojasGonzález;;-0.5;Male
Ocelotl;Ocelotl;;-0.5;Male
Xóchitl;Xóchitl;;1.0;Female
Cáliz;Cáliz;;1.0;Female
Amado Nervo;Amado Nervo;;-0.5;Male
Antonio Maura;Antonio Maura;;-0.5;Male
Rubén dario;Rubén dario;;-1.0;Male
Miguel Angel;Miguel Angel;;-1.0;Male
Washington;Washington;;-0.5;Male
Horacio Nelson;Horacio Nelson;;-1.0;Male
Sucre;Sucre;;-0.5;Male
Tomás Vasquez;Tomás Vasquez;;-1.0;Male
Tizoc;Tizoc;;-1.0;Male
Juana de Arco;Juana de Arco;;1.0;Female
Av. Presidente Plutarco Elías Calles;Av. Presidente Plutarco Elías s;;-0.92;Male
Bustamante;Bustamante;;-0.5;Male
Francisco del Paso y Troncoso;Francisco  y Troncoso;;-0.5;Male
Tlacotal Z;Tlacotal Z;;0.73;Female
Te;Te;;0.67;Female
Lic. Javier Rojo Gomez;Lic. Javier Rojo Gomez;;-0.5;Male
Aragon;Aragon;;-0.5;Male
Miguel de Cervantes;Miguel de Cervantes;;-1.0;Male
Napoleon;Napoleon;;-0.5;Male
Oviedo;Oviedo;;-1.0;Male
Miguel Lira;Miguel Lira;;-1.0;Male
Laura;Laura;;1.0;Female
Luisa;Luisa;;1.0;Female
Elisa;Elisa;;1.0;Female
Luis G. Inclán;Luis G. Inclán;;-0.5;Male
Pedro Santacila;Pedro Santacila;;-0.5;Male
Javier Sorondo;Javier Sorondo;;-1.0;Male
