calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Abella,Abella,,1.0,Female,https://es.wikipedia.org/wiki/Abella
Actr Angela Tesada,Actr Angela Tesada,,0.99,Female,https://es.wikipedia.org/wiki/%C3%81ngela_Tesada
Adelina F. de Vázquez,Adelina F. de Vázquez,,0.99,Female,
Agustina Contucci de Oribe,Agustina Contucci de Oribe,,0.49,Female,https://es.wikipedia.org/wiki/Agustina_Contucci_y_Oribe
Alda Siri,Alda Siri,,0.47,Female,
Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Amira Branca,Amira Branca,,0.96,Female,
Ana María Rubens,Ana María Rubens,,1.0,Female,
Ana Monterroso de Lavalleja,Ana Monterroso de Lavalleja,,0.99,Female,https://es.wikipedia.org/wiki/Ana_Monterroso_de_Lavalleja
Andrea de Morales,Andrea de Morales,,0.93,Female,https://es.wikipedia.org/wiki/Andrea_de_Morales
Andromeda,Andromeda,,1.0,Female,https://es.wikipedia.org/wiki/Andr%C3%B3meda_(mitolog%C3%ADa)
Ángela Anchorena,Ángela Anchorena,,0.99,Female,
Ángela Anchorena,Ángela Anchorena,,0.99,Female,
Aris Emma Walder,Aris Emma Walder,,0.93,Female,
Arquitecto Julia Guarino Fiechter,Arquitecto Julia Guarino Fiechter,,0.99,Female,https://es.wikipedia.org/wiki/Julia_Guarino
Aurelia Ramos de Segarra,Aurelia Ramos de Segarra,,0.99,Female,https://es.wikipedia.org/wiki/Aurelia_Ramos_de_Segarra
Avenida Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Avenida Delmira Agustini,Delmira Agustini,,0.99,Female,https://es.wikipedia.org/wiki/Delmira_Agustini
Avenida Doctora Alba Roballo,Doctora Alba Roballo,,1.0,Female,https://es.wikipedia.org/wiki/Alba_Roballo
Avenida Doctora María Luisa Saldún de Rodríguez,Doctora María Luisa Saldún Rodríguez,,0.5,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Sald%C3%BAn_de_Rodr%C3%ADguez
Avenida Gabriela Mistral,Gabriela Mistral,,1.0,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Bellatrix,Bellatrix,,0.5,Female,https://es.wikipedia.org/wiki/Bellatrix
Blanca Burgueño,Blanca Burgueño,,1.0,Female,
Blanca Luz Brum,Blanca Luz Brum,,0.99,Female,https://es.wikipedia.org/wiki/Blanca_Luz_Brum
Blanca Trotta,Blanca Trotta,,1.0,Female,
Brenda,Brenda,,0.99,Female,
Candelaria,Candelaria,,1.0,Female,
Carina,Carina,,1.0,Female,
Carlota,Carlota,,0.5,Female,
Carmen Barradas,Carmen Barradas,,0.47,Female,https://es.wikipedia.org/wiki/Carmen_Barradas
Carmen Garayalde,Carmen Garayalde,,0.47,Female,https://es.wikipedia.org/wiki/Carmen_Garayalde
Carolina Salguero,Carolina Salguero,,1.0,Female,
Cecilia Fontana de Heber,Cecilia Fontana de Heber,,1.0,Female,
Celia Correa Luna,Celia Correa Luna,,1.0,Female,
Clara,Clara,,1.0,Female,
Consolacíon Iglesias,Consolacíon Iglesias,,0.5,Female,
Continuación Juana Manso,Continuación Juana Manso,,0.5,Female,https://es.wikipedia.org/wiki/Juana_Manso
Delmira Agustini,Delmira Agustini,,0.99,Female,https://es.wikipedia.org/wiki/Delmira_Agustini
Diorita,Diorita,,1.0,Female,
Doctora Obdulia Ebole,Doctora Obdulia Ebole,,1.0,Female,
Dulcinea,Dulcinea,,1.0,Female,
Elba,Elba,,0.91,Female,
Elisa A. Menendez,Elisa  Menendez,,1.0,Female,
Ema Capurro,Ema Capurro,,0.98,Female,
Emilia Pardo Bazan,Emilia Pardo Bazan,,1.0,Female,https://es.wikipedia.org/wiki/Emilia_Pardo_Baz%C3%A1n
Enriqueta Compte y Rique,Enriqueta Compte y Rique,,0.5,Female,https://es.wikipedia.org/wiki/Enriqueta_Compte_y_Riqu%C3%A9
Ercilia Quiroga,Ercilia Quiroga,,0.99,Female,
Estefanía,Estefanía,,0.98,Female,
Etna,Etna,,1.0,Female,
Fedra,Fedra,,1.0,Female,https://es.wikipedia.org/wiki/Fedra
Florencia,Florencia,,0.99,Female,
Florencia,Florencia,,0.99,Female,
Francisca González Barroso,Francisca González Barroso,,1.0,Female,
Frida Kahlo,Frida Kahlo,,0.99,Female,https://es.wikipedia.org/wiki/Frida_Kahlo
Gabriela Champagne,Gabriela Champagne,,1.0,Female,
Gabriela Mistral,Gabriela Mistral,,1.0,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Gala,Gala,,0.94,Female,
Gala,Gala,,0.94,Female,
Galatea,Galatea,,1.0,Female,https://es.wikipedia.org/wiki/Galatea
Gloria,Gloria,,0.99,Female,
Guadalupe,Guadalupe,,0.28,Female,
Ingeniero Emilia Loedel Palumbo,Ingeniero Emilia Loedel Palumbo,,1.0,Female,
Iris,Iris,,0.99,Female,
Irma Camacho,Irma Camacho,,0.99,Female,
Irma Núñez,Irma Núñez,,0.99,Female,
Isabela,Isabela,,1.0,Female,
Isabela,Isabela,,1.0,Female,
Isidora Chans,Isidora Chans,,0.5,Female,
Isolina Núñez,Isolina Núñez,,1.0,Female,https://es.wikipedia.org/wiki/Isolina_N%C3%BA%C3%B1ez
Jazmín,Jazmín,,0.95,Female,
Jazmín,Jazmín,,0.95,Female,
Josefa V. de López,Josefa V. de López,,1.0,Female,
Josefina Lerena de Blixen,Josefina Lerena de Blixen,,1.0,Female,https://es.wikipedia.org/wiki/Josefina_Lerena_Acevedo_de_Blixen
Juana Azurduy de Padilla,Juana Azurduy de Padilla,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Azurduy
Juana de Arco,Juana de Arco,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Arco
Juana de Ibarbourou,Juana de Ibarbourou,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Ibarbourou
Juana De Ibarbouru,Juana De Ibarbouru,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Ibarbourou
Julia Arevalo,Julia Arevalo,,0.99,Female,https://es.wikipedia.org/wiki/Julia_Ar%C3%A9valo
Julia de Almenara,Julia de Almenara,,0.99,Female,
Laura Cortinas,Laura Cortinas,,1.0,Female,https://es.wikipedia.org/wiki/Laura_Cortinas
Leonor,Leonor,,0.98,Female,
Licenciada Sandra Olivera,Licenciada Sandra Olivera,,1.0,Female,
Lisa,Lisa,,1.0,Female,
Luisa Cáceres de Arismendi,Luisa Cáceres de Arismendi,,1.0,Female,https://es.wikipedia.org/wiki/Luisa_C%C3%A1ceres_de_Arismendi
Luisa Domínguez,Luisa Domínguez,,1.0,Female,
Luisa Lezama,Luisa Lezama,,1.0,Female,
Luisa Luisi,Luisa Luisi,,1.0,Female,https://es.wikipedia.org/wiki/Luisa_Luisi
Madre Francisca Rubatto,Madre Francisca Rubatto,,0.5,Female,https://es.wikipedia.org/wiki/Francisca_Rubatto
Maestra Debora Vitale D'Amico,Maestra Debora Vitale D'Amico,,1.0,Female,
Maestra Juana Manso,Maestra Juana Manso,,1.0,Female,https://es.wikipedia.org/wiki/Juana_Manso
Margarita Uriarte de Herrera,Margarita Uriarte de Herrera,,1.0,Female,
María Adela Bonavita,María Adela Bonavita,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Adela_Bonavita
María del Rosario Ramos,María del Rosario Ramos,,0.97,Female,
María Espínola,María Espínola,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Esp%C3%ADnola
María Ester Larraechea,María Ester Larraechea,,0.99,Female,
