calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Autov√≠a Nicol√°s Avellaneda;Autov√≠a Nicol√°s ellaneda;Nicol·s;Avellaneda;-2;Male;
San Pedro;San Pedro;San Pedro;;-2;Male;
Avenida Marcos Briolini;Marcos Briolini;Marcos;Briolini;-2;Male;
Augusto Schulz;Augusto Schulz;Augusto;Schulz;-2;Male;
Leon Roger;Leon Roger;Leon;Roger;-2;Male;
Avenida F√©lix Amadeo Ben√≠tez;F√©lix Amadeo Ben√≠tez;FÈlix Amadeo;BenÌtez;-2;Male;
Blas Parera;Blas Parera;Blas;Parera;-2;Male;
Cecilia De Seren;Cecilia De Seren;Cecilia;De Serens;2;Female;https://es.wikipedia.org/wiki/Cecilia_de_Suecia
Jos√© Lema;Jos√© Lema;JosÈ;Lema;-2;Male;
Avenida San Martin;San Martin;San MartÌn;;-2;Male;
Mariano Moreno;Mariano Moreno;Mariano;Moreno;-2;Male;
Narciso Laprida;Narciso Laprida;Narciso;Laprida;-2;Male;
Avenida Alsina;Alsina;Adolfo;Alsina;2;Female;
Carolina O. Molina de Ben√≠tez;Carolina O. Molina de Ben√≠tez;Carolina;O. Molina de BenÌtez;2;Female;
Avenida Juan Manuel de Rosas;Juan Manuel Rosas;Juan Manuel;Rosas;-2;Male;
Avenida Doctor Antonio √Ålvarez Lottero;Doctor Antonio √Ålvarez Lottero;Antonio;¡lvarez Lottero;-2;Male;
Gobernador Deolindo Felipe Bittel;Gobernador Deolindo Felipe Bittel;Deolindo Felipe;Bittel;-2;Male;
Gobernador Florencio Tenev;Gobernador Florencio Tenev;Florenio;Tenev;-2;Male;
Alberto Gerardo Ivancovich;Alberto Gerardo Ivancovich;Alberto Gerardi;Ivancovich;-2;Male;
Manuel Lisandro Peralta;Manuel Lisandro Peralta;Manuel Lisandro;Peralta;-2;Male;
Santiago de Liniers;Santiago de Liniers;Santiago;de Liniers;-2;Male;
Mauricio Feldman;Mauricio Feldman;Mauricio;Feldman;-2;Male;
Lino Torres;Lino Torres;Lino;Torres;-2;Male;
Juan Ram√≥n Lestani;Juan Ram√≥n Lestani;Juan RamÛn;Lestani;-2;Male;
Avenida Brigadier General Juan Manuel de Rosas;Brigadier General Juan Manuel Rosas;Juan Manuel;Rosas;-2;Male;
Pasaje Irene B. de Etchegaray;Irene B. Etchegaray;Irene;B. de Etchegaray;2;Female;
Juan XXIII;Juan XXIII;Juan XXIII;;-2;Male;
Doctor Luis Govi;Doctor Luis Govi;Luis;Govi;-2;Male;
Irene B. de Etchegaray;Irene B. de Etchegaray;Irene;B. de Etchegaray;2;Female;
Pasaje Doctor Juan Diego de Morgan;Doctor Juan Diego Morgan;Juan Diego;De Morgan;-2;Male;
Doctor L√°zaro Maderna;Doctor L√°zaro Maderna;L·zaro;Maderna;-2;Male;
Doctor Juan Diego De Morgan;Doctor Juan Diego De Morgan;Doctor;Juan;-2;Male;
Pasaje Jos√© Ameri;Jos√© Ameri;Jos√©;Ameri;-2;Male;
Mar√≠a R. Del Valle;Mar√≠a R. Del;MarÌa R.;Del Valle;2;Female;
Gertrudis Medeiros;Gertrudis Medeiros;Gertrudis;Medeiros;2;Female;https://es.wikipedia.org/wiki/Gertrudis_Medeiros
Martina Silva de Gurruchaga;Martina Silva de Gurruchaga;Martina;Silva;2;Female;https://es.wikipedia.org/wiki/Martina_Silva_de_Gurruchaga
Doctor Mauricio Jajam;Doctor Mauricio Jajam;Mauricio;Jajam;-2;Male;
Jos√© Ameri;Jos√© Ameri;JosÈ;Ameri;-2;Male;
Luis Govi;Luis Govi;Luis;Govi;-2;Male;
Benjam√≠n Zorrilla;Benjam√≠n Zorrilla;BenjamÌn;Zorrilla;-2;Male;
Avenida Juana Azurduy;Juana Azurduy;Juana;Azurduy;2;Female;https://es.wikipedia.org/wiki/Juana_Azurduy
Avenida Sab√≠n;Sab√≠n;;SabÌn;-2;Male;
Ruta Nicol√°s Avellaneda;Ruta Nicol√°s ellaneda;Nicol·s;Avellaneda;2;Female;
Avenida Antonio Martina;Antonio Martina;Antonio;Martina;-2;Male;
Pasaje Martina;Martina;Antonio;Martina;-2;Male;
Adolfo P√©rez Esquivel;Adolfo P√©rez Esquivel;Adolfo;PÈrez Esquivel;-2;Male;
Federico Leloir;Federico Leloir;Federico;Leloir;-2;Male;
Bernardo Alberto Houssay;Bernardo Alberto Houssay;Bernardo;Alberto;-2;Male;
C√©sar Milstein;C√©sar Milstein;CÈsar;Milstein;-2;Male;
San Fernando;San Fernando;San;Fernando;-2;Male;
Gobernador Rolando Tauguinas;Gobernador Rolando Tauguinas;Rolando;Tauguinas;-2;Male;
Gobernador Danilo Baroni;Gobernador Danilo Baroni;Danilo;Baroni;-2;Male;
Ricardo L√≥pez Jord√°n;Ricardo L√≥pez Jord√°n;Ricardo;LÛpez Jord·n;-2;Male;
Bartolom√© Mitre;Bartolom√© Mitre;BartolomÈ;Mitre;-2;Male;
Pasaje Bartolom√© Mitre;Bartolom√© Mitre;BartolomÈ;Mitre;-2;Male;
Avenida Alfredo Guerrero;Alfredo Guerrero;Alfredo;Guerrero;-2;Male;
Rodolfo Gabardini;Rodolfo Gabardini;Rodolfo;Gabardini;-2;Male;
Aldo Boglietti;Aldo Boglietti;Aldo;Boglietti;-2;Male;
Eugenio Salom;Eugenio Salom;Eugenio;Salom;-2;Male;
Le√≥n Zorrilla;Le√≥n Zorrilla;LeÛn;Zorrilla;-2;Male;
Doctor Alfredo Reggiardo;Doctor Alfredo Reggiardo;Alfredo;Reggiardo;-2;Male;
Alice Le Saige;Alice Le Saige;Alice;Le Saige;2;Female;
Jos√© Hern√°ndez;Jos√© Hern√°ndez;JosÈ;Hern·ndez;-2;Male;
Cecilia Perdora de Serens;Cecilia Perdora de Serens;Cecilia;Perdora de Seresn;2;Female;
Rita Agote de Sustaita;Rita Agote de Sustaita;Rita;Agote de Sustaita;2;Female;
Rosa C√≠mbaro;Rosa C√≠mbaro;Rosa;CÌmbaro;2;Female;
Pasaje Luis Stando;Luis Stando;Luis;Stando;-2;Male;
San Francisco Solano;San Francisco Solano;Francisco;Solano;-2;Male;
Nicol√°s Patr√≥n;Nicol√°s Patr√≥n;Nicol·s;PatrÛn;-2;Male;
Micaela Bastida;Micaela Bastida;Micaela;Bastida;2;Female;https://es.wikipedia.org/wiki/Micaela_Bastidas
Bartolina Sissa;Bartolina Sissa;Bartolina;Sissa;2;Female;https://es.wikipedia.org/wiki/Bartolina_Sisa
Remedios de Escalada;Remedios de Escalada;Remedios;de Escalada;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Juana Moro;Juana Moro;Juana;Moro;2;Female;
Monse√±or Romero;Monse√±or Romero;;Romero;-2;Male;
Juan Facundo Quiroga;Juan Facundo Quiroga;Juan Facundo;Quiroga;-2;Male;
√Ångel Vicente Pe√±aloza;√Ångel Vicente Pe√±aloza;¡ngel Vicente;PeÒaloza;-2;Male;
Juan Felipe Ibarra;Juan Felipe Ibarra;Juan Felipe;Ibarra;-2;Male;
Francisco Ram√≠rez;Francisco Ram√≠rez;Francisco;RamÌrez;-2;Male;
Avenida Felipe Gallardo;Felipe Gallardo;Felipe;Gallardo;-2;Male;
Ram√≥n V√°zquez;Ram√≥n V√°zquez;RamÛn;V·zquez;-2;Male;
Fray Luis Beltr√°n;Fray Luis Beltr√°n;Luis;Beltr·n;-2;Male;
Fray Gabriel Grotti;Fray Gabriel Grotti;Gabriel;Grotti;-2;Male;
Manuel Dorrego;Manuel Dorrego;Manuel;Dorrego;-2;Male;
Felipe Varela;Felipe Varela;Felipe;Varela;-2;Male;
Estanislao L√≥pez;Estanislao L√≥pez;Estanislao;LÛpez;-2;Male;
Avenida Carmen C. Viuda de Ross;CarmC. Viuda Ross;Carmen;C. Viuda de Ross;-2;Male;
Carlos Corsi;Carlos Corsi;Carlos;Corsi;-2;Male;
Pasaje Viuda de Ross;Viuda Ross;Carmen;C. Viuda de Ross;-2;Male;
Emilio R. Rom√°n;Emilio R. Rom√°n;Emilio;Rom·n;-2;Male;
Avenida Luis Firpo;Luis Firpo;Luis;Firpo;-2;Male;
Avenida Justo P. Far√≠as;Justo P. Far√≠as;Justo P.;FarÌas;-2;Male;
Avenida General San Mart√≠n;General San Mart√≠n;JosÈ;de San MartÌn;-2;Male;
Pasaje Juan Ram√≥n Lestani;Juan Ram√≥n Lestani;Juan RamÛn;Lestani;-2;Male;
Arturo Umberto Illia;Arturo Umberto Illia;Arturo Umberto;Illia;-2;Male;
Juan B. Justo;Juan B. Justo;Juan B.;Justo;-2;Male;
Ernesto Duvivier;Ernesto Duvivier;Ernesto;Duvivier;-2;Male;
Julio Tort;Julio Tort;Julio;Tort;-2;Male;
Pasaje Julio Tort;Julio Tort;Julio;Tort;-2;Male;
