calle,calleClean,name,surname,fiabilidad,gender,wikipedia
Florencia,Florencia,Florencia,,2,Female,
Nuestra Señora del Rosario,Nuestra Señora del Rosario,Nuestra,Señora,2,Female,https://es.wikipedia.org/wiki/Virgen_del_Rosario
Vera Mujíca,Vera Mujíca,Vera,Mujíca,2,Female,https://es.wikipedia.org/wiki/Vera_M%C3%BAjina
Teresa Monzón,Teresa Monzón,Teresa,Monzón,2,Female,
Catalina Mano,Catalina Mano,Catalina,Mano,2,Female,
Aurora,Aurora,Aurora,,2,Female,
Avenida Nuestra Señora del Rosario,Nuestra Señora Rosario,Nuestra,Señora,2,Female,https://es.wikipedia.org/wiki/Virgen_del_Rosario
Leticia,Leticia,Leticia,,2,Female,
Virgen de los Ángeles,Virgen de los Ángeles,Virgen,de,2,Female,
Eva Perón,Eva Perón,Eva,Perón,2,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Gloria,Gloria,Gloria,,2,Female,
Gabriela Mistral,Gabriela Mistral,Gabriela,Mistral,2,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Irma Peirano,Irma Peirano,Irma,Peirano,2,Female,
Ana Frank,Ana Frank,Ana,Frank,2,Female,https://es.wikipedia.org/wiki/Ana_Frank
Avenida Santa Coloma,Santa Coloma,Santa,Coloma,2,Female,
Candelaria,Candelaria,Candelaria,,2,Female,
M. de los Angeles,M. de los Angeles,M.,de,2,Female,
Remedios de Escalada,Remedios de Escalada,Remedios,de,2,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Gregoria Matorras,Gregoria Matorras,Gregoria,Matorras,2,Female,https://es.wikipedia.org/wiki/Gregoria_Matorras
Silva,Silva,Silva,,2,Female,
Rita A. de Ibarlucea,Rita  Ibarlucea,Rita,,2,Female,
Modesta Ávila,Modesta Ávila,Modesta,Ávila,2,Female,https://en.wikipedia.org/wiki/Modesta_Avila
Ana Gurmendi,Ana Gurmendi,Ana,Gurmendi,2,Female,
Carmen Lejarza,Carmen Lejarza,Carmen,Lejarza,2,Female,
Nuestra Señora del Carmen,Nuestra Señora del Carmen,Nuestra,Señora,2,Female,
Juana de Martoloti,Juana de Martoloti,Juana,de,2,Female,
María Arduzzi,María Arduzzi,María,Arduzzi,2,Female,
Adelita Echenique,Adelita Echenique,Adelita,Echenique,2,Female,
Maria Teresa,Maria Teresa,Maria,Teresa,2,Female,
María Auxiliadora,María Auxiliadora,María,Auxiliadora,2,Female,
Alfonsina Storni,Alfonsina Storni,Alfonsina,Storni,2,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Avenida Eva Perón,Eva Perón,Eva,Perón,2,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
María Duboe,María Duboe,María,Duboe,2,Female,
Helen Brooke,Helen Brooke,Helen,Brooke,2,Female,https://es.wikipedia.org/wiki/Helen_Brooke_Taussig
Cecilia Grierson,Cecilia Grierson,Cecilia,Grierson,2,Female,https://es.wikipedia.org/wiki/Cecilia_Grierson
Vera Pintado,Vera Pintado,Vera,Pintado,2,Female,
Isabel La Católica,Isabel La Católica,Isabel,La,2,Female,https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Santa Matilde,Santa Matilde,Santa,Matilde,2,Female,
Lucía Miranda,Lucía Miranda,Lucía,Miranda,2,Female,
Minerva,Minerva,Minerva,,2,Female,https://es.wikipedia.org/wiki/Minerva
Pasaje Santa Matilde,Santa Matilde,Santa,Matilde,2,Female,https://es.wikipedia.org/wiki/Matilde_de_Ringelheim
Pasaje Santa Maria,Santa Maria,Santa,Maria,2,Female,
Santa María,Santa María,Santa,María,2,Female,
Pasaje Santa Isabel,Santa Isabel,Santa,Isabel,2,Female,
Pasaje Loreto,Loreto,Loreto,,2,Female,
Avenida María Auxiliadora,María Auxiliadora,María,Auxiliadora,2,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
Angelina Pagano,Angelina Pagano,Angelina,Pagano,2,Female,https://es.wikipedia.org/wiki/Angelina_Pagano
Simone,Simone,Simone,,2,Female,
Petrona Ávalos,Petrona Ávalos,Petrona,Ávalos,2,Female,
Libertad Lamarque,Libertad Lamarque,Libertad,Lamarque,2,Female,https://es.wikipedia.org/wiki/Libertad_Lamarque
Azucena Maizani,Azucena Maizani,Azucena,Maizani,2,Female,https://es.wikipedia.org/wiki/Azucena_Maizani
Santa Rosa de Lima,Santa Rosa de Lima,Santa,Rosa,2,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Lola Mora,Lola Mora,Lola,Mora,2,Female,https://es.wikipedia.org/wiki/Lola_Mora
Dolores Prats,Dolores Prats,Dolores,Prats,2,Female,
Rosa Wemicke,Rosa Wemicke,Rosa,Wemicke,2,Female,https://es.wikipedia.org/wiki/Rosa_Wernicke
Avenida Fausta,Fausta,Fausta,,2,Female,
Eva Peron,Eva Peron,Eva,Peron,2,Female,https://es.wikipedia.org/wiki/Eva_Per%C3%B3n
Fausta,Fausta,Fausta,,2,Female,
Nuestra Señora de la Paz,Nuestra Señora de la Paz,Nuestra,Señora,2,Female,
Remedios de Escalada San Martín,Remedios de Escalada San Martín,Remedios,de,2,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Santa Rosa,Santa Rosa,Santa,Rosa,2,Female,
Pasaje Juana Azurduy,Juana Azurduy,Juana,Azurduy,2,Female,https://es.wikipedia.org/wiki/Juana_Azurduy
Castro,Castro,Castro,,2,female,https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro
Santa María de Oro,Santa María de Oro,Santa,María,-2,Male,
Sánchez de Triana,Sánchez de Triana,Sánchez,de,-2,Male,
Alsina,Alsina,Alsina,,-2,Male,
Ayala Gauna,Ayala Gauna,Ayala,Gauna,-2,Male,
Herrero Miranda,Herrero Miranda,Herrero,Miranda,-2,Male,
General Paz,General Paz,General,Paz,-2,Male,
Ingeniero Araya,Ingeniero Araya,Ingeniero,Araya,-2,Male,
Evelyn,Evelyn,Evelyn,,-2,Male,
Teniente Agneta,Teniente Agneta,Teniente,Agneta,-2,Male,
Montes Carballo,Montes Carballo,Montes,Carballo,-2,Male,
Stella,Stella,Stella,,-2,Male,
Alice,Alice,Alice,,-2,Male,
Pj. Medina,Pj. Medina,Pj.,Medina,-2,Male,
Presidente Roca,Presidente Roca,Presidente,Roca,-2,Male,
Pasaje Buenaventura Suárez,Buenaventura Suárez,Buenaventura,Suárez,-2,Male,
González Castillo,González Castillo,González,Castillo,-2,Male,
Azara,Azara,Azara,,-2,Male,
Rui Barbosa,Rui Barbosa,Rui,Barbosa,-2,Male,
Claude Debussy,Claude Debussy,Claude,Debussy,-2,Male,
Gobernador Vera,Gobernador Vera,Gobernador,Vera,-2,Male,
Jean Paul Sartre,Jean Paul Sartre,Jean,Paul,-2,Male,
J. A. Ramos,J.  Ramos,J.,,-2,Male,
Jean Jaures,Jean Jaures,Jean,Jaures,-2,Male,
José María Rosa,José María Rosa,José,María,-2,Male,
Juan Pablo II,Juan Pablo II,Juan,Pablo,-2,Male,
Bulevar Nicolás Avellaneda,Bulevar Nicolás ellaneda,Bulevar,Nicolás,-2,Male,
Nahuel Huapi,Nahuel Huapi,Nahuel,Huapi,-2,Male,
Omar Carrasco,Omar Carrasco,Omar,Carrasco,-2,Male,
Avenida Ovidio Lagos,Ovidio Lagos,Ovidio,Lagos,-2,Male,
Santiago,Santiago,Santiago,,-2,Male,
Bulevar Nicasio Oroño,Bulevar Nicasio Oroño,Bulevar,Nicasio,-2,Male,
Mariano Moreno,Mariano Moreno,Mariano,Moreno,-2,Male,
José Margis,José Margis,José,Margis,-2,Male,
Manuel Dorrego,Manuel Dorrego,Manuel,Dorrego,-2,Male,
Bartolomé Mitre,Bartolomé Mitre,Bartolomé,Mitre,-2,Male,
Avenida José de San Martín,José San Martín,José,San,-2,Male,
Federico Humboldt,Federico Humboldt,Federico,Humboldt,-2,Male,
Avenida José Uriburu,José Uriburu,José,Uriburu,-2,Male,
Vicente Medina,Vicente Medina,Vicente,Medina,-2,Male,
Ricardo Caballero,Ricardo Caballero,Ricardo,Caballero,-2,Male,
Manuel Gutierrez,Manuel Gutierrez,Manuel,Gutierrez,-2,Male,
Julio Bello,Julio Bello,Julio,Bello,-2,Male,
Avenida Manuel Arijón,Manuel Arijón,Manuel,Arijón,-2,Male,
San Juan de Luz,San Juan de Luz,San,Juan,-2,Male,
Pasaje Julio Marc,Julio Marc,Julio,Marc,-2,Male,
San Nicolás,San Nicolás,San,Nicolás,-2,Male,
Hilarión de la Quintana,Hilarión de la Quintana,Hilarión,de,-2,Male,
Arnold,Arnold,Arnold,,-2,Male,
Marc,Marc,Marc,,-2,Male,
Olegario Victor Andrade,Olegario Victor Andrade,Olegario,Victor,-2,Male,
Martín Rodríguez,Martín Rodríguez,Martín,Rodríguez,-2,Male,
Benito Juárez,Benito Juárez,Benito,Juárez,-2,Male,
