Plaza del Maestro Antonio Gómez,Maestro Antonio Gómez,Maestro,Antonio,-2,Male,,verdadero,,,
Avenida Juan Pablo II,Juan Pablo II,Juan,Pablo,-2,Male,,verdadero,,,
Avenida de Lasalle,Lasalle,Lasalle,,0,,,verdadero,,,
Carretera de Castilla,Carretera de Castilla,Carretera,de,0,,,verdadero,,,
Avenida Carmen Martín Gaite,CarmMartín Gaite,CarmMartín,Gaite,0,Female,https://es.wikipedia.org/wiki/Carmen_Mart%C3%ADn_Gaite,verdadero,,,
Avenida José Núñez Larráz,José Núñez Larráz,José,Núñez,-2,Male,,verdadero,,,
Salamanca a Pino de Tormes por Florida de Liébana,Salamanca a Pino de Tormes por Florida de Liébana,Salamanca,a,2,,,verdadero,,,
Avenida Luis de Camoens,Luis Camoens,Luis,Camoens,-2,Male,,verdadero,,,
Rotonda de San Miguel de Valero,San Miguel de Valero,San,Miguel,-2,Male,,verdadero,,,
Calle Vicente Beltrán de Heredia,Vicente Beltrán Heredia,Vicente,Beltrán,-2,Male,,verdadero,,,
Calle José de Lamano Beneite,José Lamano Beneite,José,Lamano,-2,Male,,verdadero,,,
Calle Pedro Gutiérrez,Pedro Gutiérrez,Pedro,Gutiérrez,-2,Male,,verdadero,,,
Avenida de los Maristas,Maristas,Maristas,,0,,,verdadero,,,
Avenida Obispo Sancho de Castilla,Obispo Sancho Castilla,Obispo,Sancho,-2,Male,,verdadero,,,
Avenida de Mariano Rodríguez Sánchez,Mariano Rodríguez Sánchez,Mariano,Rodríguez,-2,Male,,verdadero,,,
Avenida Fernando Pessoa,Fernando Pessoa,Fernando,Pessoa,-2,Male,,verdadero,,,
Calle Fray Bernardino de Sahagún,Fray Bernardino Sahagún,Fray,Bernardino,-2,Male,,verdadero,,,
Calle Antonio Ponz,Antonio Ponz,Antonio,Ponz,-2,Male,,verdadero,,,
Calle Pedro Chacón,Pedro Chacón,Pedro,Chacón,-2,Male,,verdadero,,,
Calle Manuel Ramos Andrade,Manuel Ramos Andrade,Manuel,Ramos,-2,Male,,verdadero,,,
Calle Richard Ford,Richard Ford,Richard,Ford,-2,Male,,verdadero,,,
Calle Zacarías González,Zacarías González,Zacarías,González,-2,Male,,verdadero,,,
Calle Lorenzo Niño,Lorenzo Niño,Lorenzo,Niño,-2,Male,,verdadero,,,
Calle Jesús García Bernalt,Jesús García Bernalt,Jesús,García,-2,Male,,verdadero,,,
Calle Lamberto de Echeverría,Lamberto Echeverría,Lamberto,Echeverría,-2,Male,,verdadero,,,
Paseo Enrique de Sena,Enrique Sena,Enrique,Sena,-2,Male,,verdadero,,,
Calle Gustavo Doré,Gustavo Doré,Gustavo,Doré,-2,Male,,verdadero,,,
Calle Doctor Miguel Moraza,Doctor Miguel Moraza,Doctor,Miguel,-2,Male,,verdadero,,,
Calle William Bradford,William Bradford,William,Bradford,-2,Male,,verdadero,,,
Calle Richard Twiss,Richard Twiss,Richard,Twiss,-2,Male,,verdadero,,,
Calle Jerónimo Münzer,Jerónimo Münzer,Jerónimo,Münzer,-2,Male,,verdadero,,,
Calle Antonio Llorente Maldonado,Antonio Llorente Maldonado,Antonio,Llorente,-2,Male,,verdadero,,,
Calle George Borrow,George Borrow,George,Borrow,-2,Male,,verdadero,,,
Calle Pintor Fernando Gallego,Pintor Fernando Gallego,Pintor,Fernando,-2,Male,,verdadero,,,
Calle Papa Luna,Papa Luna,Papa,Luna,-2,Male,,verdadero,,,
Calle Fernando Población,Fernando Población,Fernando,Población,-2,Male,,verdadero,,,
Avenida Alfonso XI,Alfonso XI,Alfonso,XI,-2,Male,,verdadero,,,
Glorieta Obispo de Bobadilla,Glorieta Obispo de Bobadilla,Glorieta,Obispo,0,Male,,verdadero,,,
Glorieta de las Aceñas,Glorieta de las Aceñas,Glorieta,de,0,,,verdadero,,,
Avenida Padre Ignacio Ellacuría,Padre Ignacio Ellacuría,Padre,Ignacio,-2,Male,,verdadero,,,
Paseo Lunes de Aguas,Lunes Aguas,Lunes,Aguas,0,,,verdadero,,,
Paseo Florencio Marcos,Florencio Marcos,Florencio,Marcos,-2,Male,,verdadero,,,
Calle Lorenzo González Iglesias,Lorenzo González Iglesias,Lorenzo,González,-2,Male,,verdadero,,,
Calle Tomás Rodríguez Pinilla,Tomás Rodríguez Pinilla,Tomás,Rodríguez,-2,Male,,verdadero,,,
Calle Padre Morán,Padre Morán,Padre,Morán,0,Male,,verdadero,,,
Calle Taboada García,Taboada García,Taboada,García,-2,Male,,verdadero,,,
Calle Conde de Vallellano,Conde Vallellano,Conde,Vallellano,0,Male,,verdadero,,,
Calle Tizziano,Tizziano,Tizziano,,0,,,verdadero,,,
Calle Francisco Montejo,Francisco Montejo,Francisco,Montejo,-2,Male,,verdadero,,,
Calle Francisco Maldonado,Francisco Maldonado,Francisco,Maldonado,-2,Male,,verdadero,,,
Calle Cordel de Merinas de Chamberí,CorMerinas de Chamberí,CorMerinas,de,0,,,verdadero,,,
Calle Luis Sala Balust,Luis Sala Balust,Luis,Sala,-2,Male,,verdadero,,,
Calle la Victoria,la Victoria,la,Victoria,2,,,verdadero,,,
Paseo Fernando Araujo,Fernando Araujo,Fernando,Araujo,-2,Male,,verdadero,,,
Calle Gil González Dávila,Gil González Dávila,Gil,González,-2,Male,,verdadero,,,
Calle Bernardo Dorado,Bernardo Dorado,Bernardo,Dorado,-2,Male,,verdadero,,,
Calle Obispo Don Jerónimo,Obispo Don Jerónimo,Obispo,Don,-2,Male,,verdadero,,,
Calle Sánchez Ruano,Sánchez Ruano,Sánchez,Ruano,0,Male,,verdadero,,,
Calle Aldasoro Quijano,Aldasoro Quijano,Aldasoro,Quijano,0,Male,,verdadero,,,
Calle del Concejo de Tejares,Concejo Tejares,Concejo,Tejares,0,,,verdadero,,,
Calle Mayor de Chamberí,Mayor Chamberí,Mayor,Chamberí,0,,,verdadero,,,
Calle de la Avena,Avena,Avena,,0,,,verdadero,,,
Glorieta del Puerto de Aveiro,Glorieta  Aveiro,Glorieta,,0,,,verdadero,,,
Calle Pascual Madoz,Pascual Madoz,Pascual,Madoz,-2,Male,,verdadero,,,
Camino Huertas de la Vega,Huertas Vega,Huertas,Vega,2,,,verdadero,,,
Calle la Uva,la Uva,la,Uva,0,,,verdadero,,,
Calle de los Chacineros,Chacineros,Chacineros,,0,,,verdadero,,,
Puente del VIII Centenario,VIII Centenario,VIII,Centenario,0,,,verdadero,,,
Plaza de Ladislao Sánchez,Ladislao Sánchez,Ladislao,Sánchez,-2,Male,,verdadero,,,
Calle Muñovela,Muñovela,Muñovela,,0,,,verdadero,,,
Calle de Victorio Macho,Victorio Macho,Victorio,Macho,-2,Male,,verdadero,,,
Calle Fray Diego Tadeo González,Fray Diego Tadeo González,Fray,Diego,-2,Male,,verdadero,,,
Calle Carolina Coronado,Carolina Coronado,Carolina,Coronado,2,Female,https://es.wikipedia.org/wiki/Carolina_Coronado,verdadero,,,
Calle José Cadalso,José Cadalso,José,Cadalso,-2,Male,,verdadero,,,
Calle de Francisco Gallego,Francisco Gallego,Francisco,Gallego,-2,Male,,verdadero,,,
Calle Salud Segunda,Salud Segunda,Salud,Segunda,2,,,verdadero,,,
Calle Matadero,Matadero,Matadero,,0,,,verdadero,,,
Calle de Almendralejo,Almendralejo,Almendralejo,,0,,,verdadero,,,
Calle Navalmoral de la Mata,Navalmoral Mata,Navalmoral,Mata,0,,,verdadero,,,
Calle de la Moral,Moral,Moral,,0,,,verdadero,,,
Calle Bachiller Finardo Valerio,Bachiller Finardo Valerio,Bachiller,Finardo,-2,Male,,verdadero,,,
Calle Arquitecto Repullés y Vargas,Arquitecto Repullés y Vargas,Arquitecto,Repullés,0,Male,,verdadero,,,
Calle Poeta Jesús Rasueros,Poeta Jesús Rasueros,Poeta,Jesús,-2,Male,,verdadero,,,
Avenida de la Vega de Salamanca,Vega Salamanca,Vega,Salamanca,2,,,verdadero,,,
Calle Segovia,Segovia,Segovia,,0,,,verdadero,,,
Calle de Juan Miguel,Juan Miguel,Juan,Miguel,-2,Male,,verdadero,,,
Calle Luis Bello,Luis Bello,Luis,Bello,-2,Male,,verdadero,,,
Calle Martín Alonso Pedraz,Martín Alonso Pedraz,Martín,Alonso,-2,Male,,verdadero,,,
Calle Jean Laurent,Jean Laurent,Jean,Laurent,2,Male,,verdadero,,,
Calle Girolamo da Sommaia,Girolamo da Sommaia,Girolamo,da,-2,Male,,verdadero,,,
Calle del Limón,Limón,Limón,,0,,,verdadero,,,
Calle de Luis Anaya,Luis Anaya,Luis,Anaya,-2,Male,,verdadero,,,
Calle de la Oca,Oca,Oca,,0,,,verdadero,,,
Calle Caída de Valhondo,Caída Valhondo,Caída,Valhondo,0,,,verdadero,,,
Calle Lucas Fernández,Lucas Fernández,Lucas,Fernández,-2,Male,,verdadero,,,
Calle Vargas Zúñiga,Vargas Zúñiga,Vargas,Zúñiga,0,Male,,verdadero,,,
Calle Juan Maluquer,Juan Maluquer,Juan,Maluquer,-2,Male,,verdadero,,,
Calle Henry Collet,Henry Collet,Henry,Collet,-2,Male,,verdadero,,,
Calle Estación Tejares,Estación Tejares,Estación,Tejares,0,,,verdadero,,,
Calle John Dalton,John Dalton,John,Dalton,-2,Male,,verdadero,,,
Calle Adolfo Suárez,Adolfo Suárez,Adolfo,Suárez,-2,Male,,verdadero,,,
Calle Antonio López Borrasca,Antonio López Borrasca,Antonio,López,-2,Male,,verdadero,,,
Calle Antonio Colinas Lobato,Antonio Colinas Lobato,Antonio,Colinas,-2,Male,,verdadero,,,
Calle Emilio Alarcos,Emilio Alarcos,Emilio,Alarcos,-2,Male,,verdadero,,,
Avenida Margarita de Austria,Margarita Austria,Margarita,Austria,2,Female,https://es.wikipedia.org/wiki/Margarita_de_Austria-Estiria,verdadero,,,
Avenida Felipe III,Felipe III,Felipe,III,-2,Male,,verdadero,,,
Calle Regato de Buenavista,Regato Buenavista,Regato,Buenavista,0,,,verdadero,,,
Calle Aldeatejada,Aldeatejada,Aldeatejada,,0,,,verdadero,,,
Calle Jovellanos,Jovellanos,Jovellanos,,0,Male,,verdadero,,,
Plaza del Maestro Manuel de Sena,Maestro Manuel Sena,Maestro,Manuel,-2,Male,,verdadero,,,
Calle la Iglesia,la Iglesia,la,Iglesia,0,,,verdadero,,,
Calle Antona Pérez,Antona Pérez,Antona,Pérez,-2,Female,,verdadero,,,
Calle del Mediodía,Mediodía,Mediodía,,0,,,verdadero,,,
Calle Felipe Bertrán,Felipe Bertrán,Felipe,Bertrán,-2,Male,,verdadero,,,
Calle La Chana,La Chana,La,Chana,0,,,verdadero,,,
Calle San Ildefonso,San Ildefonso,San,Ildefonso,-2,Male,,verdadero,,,
