Acceso a Urgencias,Acceso a Urgencias,Acceso,a,0,,,VERDADERO,,,
Acceso para ambulancias,Acceso para ambulancias,Acceso,para,0,,,VERDADERO,,,
Acceso vivero,Acceso vivero,Acceso,vivero,0,,,VERDADERO,,,
Acera de Recoletos,Acera de Recoletos,Acera,de,0,,,VERDADERO,,,
Acera del Mirador,Acera del,Acera,del,0,,,VERDADERO,,,
Antiguo camino de Fuensaldaña,Antiguo  Fuensaldaña,Antiguo,,0,,,VERDADERO,,,
Aparcamiento,Aparcamiento,Aparcamiento,,0,,,VERDADERO,,,
Avenida de Burgos,Burgos,Burgos,,0,,,VERDADERO,,,
Avenida de El Norte de Castilla,El Norte de Castilla,El,Norte,0,,,VERDADERO,,,
Avenida de Fernando Ferreiro,Fernando Ferreiro,Fernando,Ferreiro,-2,Male,,VERDADERO,,,
Avenida de Gijón,Gijón,Gijón,,0,,,VERDADERO,,,
Avenida de Gloria Fuertes,Gloria Fuertes,Gloria,Fuertes,2,Female,https://es.wikipedia.org/wiki/Gloria_Fuertes,VERDADERO,,,
Avenida de Irún,Irún,Irún,,0,,,VERDADERO,,,
Avenida de José Luis de Arrese,José Luis de Arrese,José,Luis,-2,Male,,VERDADERO,,,
Avenida de las Contiendas,Contiendas,Contiendas,,0,,,VERDADERO,,,
Avenida de los Cerros,Cerros,Cerros,,0,,,VERDADERO,,,
Avenida de los Recreos,Recreos,Recreos,,0,,,VERDADERO,,,
Avenida de los Reyes Católicos,Reyes Católicos,Reyes,Católicos,2,,,VERDADERO,,,
Avenida de Madrid,Madrid,Madrid,,0,,,VERDADERO,,,
Avenida de Medina del Campo,Medina Campo,Medina,Campo,2,,,VERDADERO,,,
Avenida de Miguel Ángel Blanco,Miguel Ángel Blanco,Miguel,Ángel,-2,Male,,VERDADERO,,,
Avenida de Palencia,Palencia,Palencia,,0,,,VERDADERO,,,
Avenida de Ramón Pradera,Ramón Pradera,Ramón,Pradera,-2,Male,,VERDADERO,,,
Avenida de Ramón y Cajal,Ramón y Cajal,Ramón,y,-2,Male,,VERDADERO,,,
Avenida de Salamanca,Salamanca,Salamanca,,0,,,VERDADERO,,,
Avenida de Sánchez Arjona,Sánchez Arjona,Sánchez,Arjona,0,Male,,VERDADERO,,,
Avenida de Santander,Santander,Santander,,0,,,VERDADERO,,,
Avenida de Segovia,Segovia,Segovia,,0,,,VERDADERO,,,
Avenida de Soria,Soria,Soria,,2,,,VERDADERO,,,
Avenida de Zamora,Zamora,Zamora,,0,,,VERDADERO,,,
