calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia;done
Calle de Octubre;Octubre;Octubre;;0;Unknown;-;-;;TRUE
Calle de Septiembre;Septiembre;Septiembre;;0;Unknown;-;-;;TRUE
Calle de Agosto;Agosto;Agosto;;0;Unknown;-;-;;TRUE
Calle Salida;Salida;Salida;;0;Unknown;-;-;;TRUE
Camino Torre Medina;Torre Medina;Torre;Medina;2;Unknown;-;-;;TRUE
Camino Longares;Longares;Longares;;0;Unknown;-;-;;TRUE
Antigua Autovía de Logroño;Antigua vía Logroño;Antigua;vía;2;Unknown;-;-;;TRUE
el coto;el coto;el;coto;0;Unknown;-;-;;TRUE
Autovía de Logroño;vía Logroño;vía;Logroño;0;Unknown;-;-;;TRUE
Avenida Autovía de Logroño;Autovía Logroño;Autovía;Logroño;0;Unknown;-;-;;TRUE
Calle Cádiz;Cádiz;Cádiz;;0;Unknown;-;-;;TRUE
Calle Camilo José Cela;Camilo José Cela;Camilo;José;-2;Male;-;-;;TRUE
Calle Barcelona (Casetas);Barcelona (Casetas);Barcelona;(Casetas);0;Unknown;-;-;;TRUE
Avenida de Logroño;Logroño;Logroño;;0;Unknown;-;-;;TRUE
Avenida Buenos Aires;Buenos Aires;Buenos;Aires;-2;Unknown;-;-;;TRUE
Calle Santander;Santander;Santander;;0;Unknown;-;-;;TRUE
Calle León;León;León;;-2;Unknown;-;-;;TRUE
El coto;El coto;El;coto;0;Unknown;-;-;;TRUE
Camino las Torres;las Torres;las;Torres;0;Unknown;-;-;;TRUE
Calle Bolivia;Bolivia;Bolivia;;2;Unknown;-;-;;TRUE
Camino Molino del Rey;Molino Rey;Molino;Rey;-2;Unknown;-;-;;TRUE
Calle Soria;Soria;Soria;;2;Unknown;-;-;;TRUE
Calle Mariano Domingo Ruiz;Mariano Domingo Ruiz;Mariano;Domingo;-2;Male;-;-;;TRUE
Calle Mariano Lozano Sesma;Mariano Lozano Sesma;Mariano;Lozano;-2;Male;-;-;;TRUE
Calle Salvador Dalí;Salvador Dalí;Salvador;Dalí;-2;Male;-;-;;TRUE
Calle Miguel de Cervantes;Miguel Cervantes;Miguel;Cervantes;-2;Male;-;-;;TRUE
Calle Francisco de Goya;Francisco Goya;Francisco;Goya;-2;Male;-;-;;TRUE
Avenida de la Constitución;Constitución;Constitución;;0;Unknown;-;-;;TRUE
Camino de la Estación;Estación;Estación;;0;Unknown;-;-;;TRUE
Calle Argentina;Argentina;Argentina;;2;Unknown;-;-;;TRUE
Calle Extremadura;Extremadura;Extremadura;;0;Unknown;-;-;;TRUE
Calle Canarias;Canarias;Canarias;;0;Unknown;-;-;;TRUE
Calle Domingo Legua Rudilla;Domingo Legua Rudilla;Domingo;Legua;-2;Male;-;-;;TRUE
Calle Oviedo;Oviedo;Oviedo;;0;Unknown;-;-;;TRUE
Calle Andalucía;Andalucía;Andalucía;;2;Unknown;-;-;;TRUE
Calle Valencia;Valencia;Valencia;;0;Unknown;-;-;;TRUE
Plaza José Lasheras;José Lasheras;José;Lasheras;-2;Male;-;-;;TRUE
Calle Bilbao;Bilbao;Bilbao;;0;Unknown;-;-;;TRUE
Calle Madrid;Madrid;Madrid;;0;Unknown;-;-;;TRUE
Calle La Jota;La Jota;La;Jota;0;Unknown;-;-;;TRUE
Calle Cinco de Marzo;Cinco Marzo;Cinco;Marzo;0;Unknown;-;-;;TRUE
Murcia;Murcia;Murcia;;0;Unknown;-;-;;TRUE
Calle Murcia;Murcia;Murcia;;0;Unknown;-;-;;TRUE
Calle Dos de Mayo;Dos Mayo;Dos;Mayo;-2;Unknown;-;-;;TRUE
Travesia de las Eras;Travesia de las Eras;Travesia;de;0;Unknown;-;-;;TRUE
Calle Irun;Irun;Irun;;0;Unknown;-;-;;TRUE
Calle Astorga;Astorga;Astorga;;0;Unknown;-;-;;TRUE
Travesia Dos de Mayo;Travesia Dos de Mayo;Travesia;Dos;-2;Unknown;-;-;;TRUE
Calle Las Eras;Las Eras;Las;Eras;0;Unknown;-;-;;TRUE
Calle Cáceres;Cáceres;Cáceres;;0;Unknown;-;-;;TRUE
Calle Italia;Italia;Italia;;2;Unknown;-;-;;TRUE
Calle Huelva;Huelva;Huelva;;0;Unknown;-;-;;TRUE
Calle Galicia;Galicia;Galicia;;0;Unknown;-;-;;TRUE
Calle Alcubierre;Alcubierre;Alcubierre;;0;Unknown;-;-;;TRUE
Calle El Olmo;El Olmo;El;Olmo;-2;Unknown;-;-;;TRUE
Calle Nuestra Señora del Carmen;Nuestra Señora Carmen;Nuestra;Señora;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_del_Carmen;TRUE
Plaza de Don Jose las Heras;Don Jose las Heras;Don;Jose;-2;Male;-;-;;TRUE
Plaza Arnal Gorría;Arnal Gorría;Arnal;Gorría;0;Female;-;-;;TRUE
Calle Canfranc;Canfranc;Canfranc;;0;Unknown;-;-;;TRUE
Calle La Parra;La Parra;La;Parra;0;Unknown;-;-;;TRUE
Calle Teruel;Teruel;Teruel;;0;Unknown;-;-;;TRUE
Plaza Santiago Castillo;Santiago Castillo;Santiago;Castillo;-2;Male;-;-;;TRUE
Calle Aragón;Aragón;Aragón;;0;Unknown;-;-;;TRUE
Calle San Jorge;San Jorge;San;Jorge;-2;Male;-;-;;TRUE
Parque Ricardo Mur;Ricardo Mur;Ricardo;Mur;-2;Male;-;-;;TRUE
Calle América;América;América;;2;Unknown;-;-;;TRUE
Calle Burgos;Burgos;Burgos;;0;Unknown;-;-;;TRUE
Calle Monsen Pantaleon Benedi;MonsPantaleon Benedi;MonsPantaleon;Benedi;0;Male;-;-;;TRUE
Calle Don Juan Bregante;Don Juan Bregante;Don;Juan;-2;Male;-;-;;TRUE
Calle Virgen de la Rosa;VirgRosa;VirgRosa;;0;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_la_rosa;TRUE
Calle Mosén Rafael Buerba;Mosén Rafael Buerba;Mosén;Rafael;-2;Male;-;-;;TRUE
Calle Vizcaya;Vizcaya;Vizcaya;;0;Unknown;-;-;;TRUE
Calle Juan de Lanuza;Juan Lanuza;Juan;Lanuza;-2;Male;-;-;;TRUE
Calle Baleares (Casetas);Baleares (Casetas);Baleares;(Casetas);0;Unknown;-;-;;TRUE
Calle Moncayo;Moncayo;Moncayo;;0;Unknown;-;-;;TRUE
Calle Ramon y Cajal;Ramon y Cajal;Ramon;y;-2;Male;-;-;;TRUE
Calle Aragón (Casetas);Aragón (Casetas);Aragón;(Casetas);0;Unknown;-;-;;TRUE
Plaza de Ramón y Cajal;Ramón y Cajal;Ramón;y;-2;Male;-;-;;TRUE
Calle Polígono;Polígono;Polígono;;0;Unknown;-;-;;TRUE
Plaza de España;España;España;;0;Unknown;-;-;;TRUE
Calle Huesca;Huesca;Huesca;;0;Unknown;-;-;;TRUE
Calle Francisca Millán Serrano;Francisca Millán Serrano;Francisca;Millán;2;Female;-;-;https://es.wikipedia.org/wiki/Francisca_Mill%C3%A1n_Serrano;TRUE
Calle Castillo;Castillo;Castillo;;2;Unknown;-;-;;TRUE
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-;;TRUE
Calle San Vicente de Paul;San Vicente Paul;San;Vicente;-2;Male;-;-;;TRUE
Calle Alfonso Sarria Almenara;Alfonso Sarria Almenara;Alfonso;Sarria;-2;Male;-;-;;TRUE
Calle Cataluña;Cataluña;Cataluña;;0;Unknown;-;-;;TRUE
Calle Límite;Límite;Límite;;0;Unknown;-;-;;TRUE
Calle Las Huertas;Las Huertas;Las;Huertas;2;Unknown;-;-;https://es.wikipedia.org/wiki/M%C3%A1vila_Huertas;TRUE
Calle Castellar (Alfocea);Castellar (Alfocea);Castellar;(Alfocea);0;Unknown;-;-;;TRUE
Calle Costera;Costera;Costera;;0;Unknown;-;-;;TRUE
Calle Barrio Alto (Alfocea);Barrio Alto (Alfocea);Barrio;Alto;0;Unknown;-;-;;TRUE
Calle La Plaza;La Plaza;La;Plaza;0;Unknown;-;-;;TRUE
Calle Iglesia (Alfocea);Iglesia (Alfocea);Iglesia;(Alfocea);0;Unknown;-;-;;TRUE
Calle Salitrería (Alfocea);Salitrería (Alfocea);Salitrería;(Alfocea);0;Unknown;-;-;;TRUE
Calle Barrio Bajo;Barrio Bajo;Barrio;Bajo;0;Unknown;-;-;;TRUE
Puente de Alfocea;Alfocea;Alfocea;;0;Unknown;-;-;;TRUE
Camino La Poza;La Poza;La;Poza;0;Unknown;-;-;;TRUE
Monzalbarba a Alfocea;Monzalbarba a Alfocea;Monzalbarba;a;0;Unknown;-;-;;TRUE
Camino antiguo de Alfocea;antiguo Alfocea;antiguo;Alfocea;0;Unknown;-;-;;TRUE
Calle de Julio;Julio;Julio;;-2;Unknown;-;-;;TRUE
Calle de Junio;Junio;Junio;;0;Unknown;-;-;;TRUE
Calle Entrada;Entrada;Entrada;;0;Unknown;-;-;;TRUE
Calle de Mayo;Mayo;Mayo;;-2;Unknown;-;-;;TRUE
Calle de Abril;Abril;Abril;;2;Unknown;-;-;;TRUE
Camino de la Alfocea;Alfocea;Alfocea;;0;Unknown;-;-;;TRUE
Acceso solamente si la acequia que cruza sobre la de la Joyosa esta seca;Acceso solamente si la acequia que cruza sobre la de la Joyosa esta seca;Acceso;solamente;0;Unknown;-;-;;TRUE
Puente Clavería;Clavería;Clavería;;0;Unknown;-;-;;TRUE
Calle Mayor;Mayor;Mayor;;0;Unknown;-;-;;TRUE
Calle Escuelas;Escuelas;Escuelas;;0;Unknown;-;-;;TRUE
Avenida Zaragoza;Zaragoza;Zaragoza;;2;Unknown;-;-;;TRUE
Camino de Claveria de Almenara de San Juan;Claveria de Almenara de San Juan;Claveria;de;-2;Unknown;-;-;;TRUE
Camino de Puente de Clavería;Puente de Clavería;Puente;de;0;Unknown;-;-;;TRUE
Urbanización Los Guarales;Urbanización Los Guarales;Urbanización;Los;0;Unknown;-;-;;TRUE
Camino Perdiguera;Perdiguera;Perdiguera;;0;Unknown;-;-;;TRUE
Calle de San Cristóbal;San Cristóbal;San;Cristóbal;-2;Male;-;-;;TRUE
Camino de Barboles;Barboles;Barboles;;0;Unknown;-;-;;TRUE
Barrio Clavería;Barrio Clavería;Barrio;Clavería;0;Unknown;-;-;;TRUE
Camino de la Bodega del Rey;Bodega Rey;Bodega;Rey;-2;Unknown;-;-;;TRUE
Camino de la Linde;Linde;Linde;;0;Unknown;-;-;;TRUE
Urbanización Torre del Pinar;Urbanización Torre del Pinar;Urbanización;Torre;2;Unknown;-;-;;TRUE
Urbanizacion La Sagrada;Urbanizacion La Sagrada;Urbanizacion;La;0;Unknown;-;-;;TRUE
Calle San Antón;San Antón;San;Antón;-2;Male;-;-;;TRUE
Calle Florencio Perera Larrosa;Florencio Perera Larrosa;Florencio;Perera;-2;Male;-;-;;TRUE
Calle José y Antonio Ferrer;José y Antonio Ferrer;José;y;-2;Male;-;-;;TRUE
Camino Puente Clavería;Puente Clavería;Puente;Clavería;0;Unknown;-;-;;TRUE
Calle Nuestra Señora de Loreto;Nuestra Señora Loreto;Nuestra;Señora;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_Loreto;TRUE
Calle Francisco Pueyo Pérez;Francisco Pueyo Pérez;Francisco;Pueyo;-2;Male;-;-;;TRUE
Calle Zaragoza;Zaragoza;Zaragoza;;2;Unknown;-;-;;TRUE
Camino torre Aparicio;torre Aparicio;torre;Aparicio;-2;Unknown;-;-;;TRUE
Camino de Casetas;Casetas;Casetas;;0;Unknown;-;-;;TRUE
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;-;-;https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;TRUE
Plaza San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;-;-;;TRUE
Calle Nuestra Señora del Rosario;Nuestra Señora Rosario;Nuestra;Señora;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_del_Rosario;TRUE
Calle José Martín Ortega;José Martín Ortega;José;Martín;-2;Male;-;-;;TRUE
Plaza España;España;España;;0;Unknown;-;-;;TRUE
Calle Demetrio Galán Bergúa;Demetrio Galán Bergúa;Demetrio;Galán;-2;Male;-;-;;TRUE
Calle Luciano Fuertes Vidosa;Luciano Fuertes Vidosa;Luciano;Fuertes;-2;Male;-;-;;TRUE
Calle La Sagrada;La Sagrada;La;Sagrada;0;Female;-;-;;TRUE
Calle Águeda Centenera Gómez;Águeda Centenera Gómez;Águeda;Centenera;2;Female;-;-;;TRUE
Calle Barón de la Linde;Barón Linde;Barón;Linde;0;Unknown;-;-;;TRUE
Avenida de La Jota;La Jota;La;Jota;0;Unknown;-;-;;TRUE
Calle Paulino Navarro;Paulino Navarro;Paulino;Navarro;-2;Male;-;-;;TRUE
Calle Joaquín Blasco Gay;Joaquín Blasco Gay;Joaquín;Blasco;-2;Male;-;-;;TRUE
Camino de las Moreras (Garrapinillos);Moreras (Garrapinillos);Moreras;(Garrapinillos);0;Unknown;-;-;;TRUE
Calle Ramón Pignatelli;Ramón Pignatelli;Ramón;Pignatelli;-2;Male;-;-;;TRUE
Calle Víctor Ruiz Meléndez;Víctor Ruiz Meléndez;Víctor;Ruiz;-2;Male;-;-;;TRUE
Carrera de la Herradura;Carrera de la Herradura;Carrera;de;0;Unknown;-;-;;TRUE
Calle Modesto Pinilla Pascual;Modesto Pinilla Pascual;Modesto;Pinilla;-2;Male;-;-;;TRUE
Urbanizacion Conde Fuentes;Urbanizacion Conde Fuentes;Urbanizacion;Conde;0;Male;-;-;;TRUE
Camino de las Moreras;Moreras;Moreras;;0;Unknown;-;-;;TRUE
Camino de San Lamberto;San Lamberto;San;Lamberto;-2;Male;-;-;;TRUE
Urbanizacion Torre del Frances B;Urbanizacion Torre del Frances B;Urbanizacion;Torre;2;Unknown;-;-;;TRUE
Calle de Alguero;Alguero;Alguero;;0;Unknown;-;-;;TRUE
Calle de Lerici;Lerici;Lerici;;0;Unknown;-;-;;TRUE
Calle de Aversa;Aversa;Aversa;;0;Unknown;-;-;;TRUE
Avenida de Zaragoza;Zaragoza;Zaragoza;;2;Unknown;-;-;;TRUE
Camino de los Llanos;Llanos;Llanos;;2;Unknown;-;-;;TRUE
Acequia del Cano;Acequia del Cano;Acequia;del;0;Unknown;-;-;;TRUE
Camino Bonaire;Bonaire;Bonaire;;0;Unknown;-;-;;TRUE
Camino de la Venta del Cano;Venta Cano;Venta;Cano;0;Unknown;-;-;;TRUE
Camino Torre de Martinez;Torre Martinez;Torre;Martinez;0;Unknown;-;-;;TRUE
Camino Cantarranas;Cantarranas;Cantarranas;;0;Unknown;-;-;;TRUE
Camino Santa Pau;Santa Pau;Santa;Pau;2;Unknown;-;-;;TRUE
Calle Torre Asiron;Torre Asiron;Torre;Asiron;0;Unknown;-;-;;TRUE
Camino Copao;Copao;Copao;;0;Unknown;-;-;;TRUE
Camino Asiron;Asiron;Asiron;;0;Unknown;-;-;;TRUE
Calle de Álvarez Rodríguez;Álvarez Rodríguez;Álvarez;Rodríguez;0;Unknown;-;-;;TRUE
Calle José Palafox (Monzalbarba);José Palafox (Monzalbarba);José;Palafox;-2;Male;-;-;;TRUE
Calle Argensola;Argensola;Argensola;;0;Unknown;-;-;;TRUE
Calle Bomba;Bomba;Bomba;;0;Unknown;-;-;;TRUE
Calle Jacinta Bartolomé;Jacinta Bartolomé;Jacinta;Bartolomé;2;Female;-;-;;TRUE
Avenida San José;San José;San;José;-2;Male;-;-;;TRUE
Calle Castillo Miranda;Castillo Miranda;Castillo;Miranda;2;Unknown;-;-;;TRUE
Calle La Muela;La Muela;La;Muela;0;Unknown;-;-;;TRUE
Calle Utebo;Utebo;Utebo;;0;Unknown;-;-;;TRUE
Calle Francisco Casamajo;Francisco Casamajo;Francisco;Casamajo;-2;Male;-;-;;TRUE
Plaza Aragón (Monzalbarba);Aragón (Monzalbarba);Aragón;(Monzalbarba);0;Unknown;-;-;;TRUE
Calle Sobradiel;Sobradiel;Sobradiel;;0;Unknown;-;-;;TRUE
Calle La Joyosa;La Joyosa;La;Joyosa;0;Unknown;-;-;;TRUE
Travesia la Plana;Travesia la Plana;Travesia;la;0;Unknown;-;-;;TRUE
Calle Enmedio (Monzalbarba);Enmedio (Monzalbarba);Enmedio;(Monzalbarba);0;Unknown;-;-;;TRUE
Calle El Pontón;El Pontón;El;Pontón;0;Unknown;-;-;;TRUE
Calle San Blas (Monzalbarba);San Blas (Monzalbarba);San;Blas;-2;Male;-;-;;TRUE
Calle Beato Ignacio Tejero Molina;Beato Ignacio Tejero Molina;Beato;Ignacio;-2;Male;-;-;;TRUE
Calle El Arco;El Arco;El;Arco;0;Unknown;-;-;;TRUE
Calle Santa Ana (Monzalbarba);Santa Ana (Monzalbarba);Santa;Ana;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa);TRUE
Calle Nuestra Señora de la Sagrada;Nuestra Señora Sagrada;Nuestra;Señora;0;Female;-;-;;TRUE
Calle Gaspar de Pex;Gaspar Pex;Gaspar;Pex;-2;Male;-;-;;TRUE
Calle Carrasquer Castán;Carrasquer Castán;Carrasquer;Castán;0;Male;-;-;;TRUE
Calle del Mediano;Mediano;Mediano;;0;Unknown;-;-;;TRUE
Calle San Miguel (Monzalbarba);San Miguel (Monzalbarba);San;Miguel;-2;Male;-;-;;TRUE
Callejon de Quinto;jon Quinto;jon;Quinto;-2;Unknown;-;-;;TRUE
Avenida San José (Monzalbarba);San José (Monzalbarba);San;José;-2;Male;-;-;;TRUE
Calle Mosén Miguel Marín;Mosén Miguel Marín;Mosén;Miguel;-2;Male;-;-;;TRUE
Vía Capitán Álvarez Rodríguez;Capitán Álvarez Rodríguez;Capitán;Álvarez;0;Male;-;-;;TRUE
Camino Pinseque;Pinseque;Pinseque;;0;Unknown;-;-;;TRUE
Camino del Abejar;Abejar;Abejar;;0;Unknown;-;-;;TRUE
Camino Monzalbarba (Venta del Olivar);Monzalbarba (Venta Olivar);Monzalbarba;(Venta;0;Unknown;-;-;;TRUE
Calle del Horno;Horno;Horno;;0;Unknown;-;-;;TRUE
Calle La Granja;La Granja;La;Granja;0;Unknown;-;-;;TRUE
Plaza Mayor;Mayor;Mayor;;0;Unknown;-;-;;TRUE
Camino Tomillar;Tomillar;Tomillar;;0;Unknown;-;-;;TRUE
Calle Adolfo Suárez González;Adolfo Suárez González;Adolfo;Suárez;-2;Male;-;-;;TRUE
Urbanizacion El Tomillar;Urbanizacion El Tomillar;Urbanizacion;El;0;Unknown;-;-;;TRUE
Urbanizacion Torre del Frances A;Urbanizacion Torre del Frances A;Urbanizacion;Torre;2;Unknown;-;-;;TRUE
Camino de Casa Berdejo;Casa Berdejo;Casa;Berdejo;0;Unknown;-;-;;TRUE
Avenida Diagonal Plaza;Diagonal Plaza;Diagonal;Plaza;0;Unknown;-;-;;TRUE
Camino de la Olmera;Olmera;Olmera;;0;Unknown;-;-;;TRUE
Camino del Cruce;Cruce;Cruce;;0;Unknown;-;-;;TRUE
Camino de Bárboles;Bárboles;Bárboles;;0;Unknown;-;-;;TRUE
Camino de Urvillar;Urvillar;Urvillar;;0;Unknown;-;-;;TRUE
Camino del la Viña;la Viña;la;Viña;0;Unknown;-;-;;TRUE
Camino Torre Villarroya;Torre Villarroya;Torre;Villarroya;0;Unknown;-;-;;TRUE
Ronda del Aeropuerto;Ronda del Aeropuerto;Ronda;del;2;Unknown;-;-;;TRUE
Calle de Taormina;Taormina;Taormina;;0;Unknown;-;-;;TRUE
Calle de Palermo;Palermo;Palermo;;0;Unknown;-;-;;TRUE
Calle de Alaún;Alaún;Alaún;;0;Unknown;-;-;;TRUE
Calle de Carae;Carae;Carae;;0;Unknown;-;-;;TRUE
Calle de Turiaso;Turiaso;Turiaso;;0;Unknown;-;-;;TRUE
Calle de Bari;Bari;Bari;;0;Unknown;-;-;;TRUE
Calle de Atiliana;Atiliana;Atiliana;;0;Unknown;-;-;;TRUE
Calle de Tarento;Tarento;Tarento;;0;Unknown;-;-;;TRUE
Calle de Messina;Messina;Messina;;0;Unknown;-;-;;TRUE
Calle Castillo de Capúa;Castillo Capúa;Castillo;Capúa;2;Unknown;-;-;;TRUE
Calle de Terracina;Terracina;Terracina;;0;Unknown;-;-;;TRUE
Calle Bursao;Bursao;Bursao;;0;Unknown;-;-;;TRUE
Calle de Trapani;Trapani;Trapani;;0;Unknown;-;-;;TRUE
Calle de Osca;Osca;Osca;;0;Unknown;-;-;;TRUE
Camino Torre Barbe;Torre Barbe;Torre;Barbe;0;Unknown;-;-;;TRUE
Camino Torre Bálmez;Torre Bálmez;Torre;Bálmez;0;Unknown;-;-;;TRUE
Camino de la Marina;Marina;Marina;;2;Unknown;-;-;;TRUE
Camino de la Casilla;Casilla;Casilla;;0;Unknown;-;-;;TRUE
Camino de la Canal;Canal;Canal;;0;Unknown;-;-;;TRUE
Ronda del Canal Imperial de Aragón;Ronda del Canal Imperial de Aragón;Ronda;del;2;Unknown;-;-;;TRUE
